"YYYYMM","Diesel","Petrol","Plugin hybrid","Battery electric","Others"
201406,2457,65,0,0,0
201412,2105,66,0,0,1
201506,2383,46,0,0,2
201512,2308,43,0,1,3
201606,2724,45,0,0,1
201612,2720,48,0,0,4
201706,3108,27,0,0,8
201712,2927,45,0,0,9
201806,3275,62,0,1,11
201812,3017,85,2,0,18
201906,3541,119,1,0,26
201912,2668,149,0,0,24
202006,2810,124,0,1,25
202012,2615,142,0,4,24
202106,2660,160,0,0,55
202112,2453,100,0,2,37
202206,2304,91,0,11,27
202212,2190,87,0,5,38
202306,2572,97,4,17,30
202312,2279,73,1,23,45
202406,2312,96,2,22,46
202412,1785,55,0,42,65
202506,2000,53,0,39,92
202512,1794,41,1,60,89
202606,1979,50,1,43,87
202612,264,11,0,6,14
