"YYYYMM","Diesel","CNG","Plugin hybrid","Battery electric","Others"
201903,2229,7,0,0,152
201906,3442,25,0,0,200
201909,1541,8,4,0,100
201912,2021,19,2,0,103
202003,1645,14,1,0,154
202006,1286,17,0,0,73
202009,1650,14,1,0,167
202012,2133,36,0,0,171
202103,1737,17,1,0,217
202106,2258,22,0,0,191
202109,1509,4,0,1,266
202112,2171,22,0,1,262
202203,1820,8,0,0,201
202206,2209,4,0,0,245
202209,1695,8,0,3,234
202212,2292,35,0,1,233
202303,2446,4,0,3,207
202306,2413,0,0,2,175
202309,2325,13,0,3,308
202312,2260,7,0,2,246
202403,2209,1,0,2,1
202406,2566,0,0,6,3
202409,2036,1,0,7,1
202412,2322,5,0,12,0
202503,1936,4,0,15,1
202506,2491,7,0,42,2
202509,2033,3,0,33,3
202512,2533,12,0,46,1
202603,2289,0,0,32,0
202606,2683,4,0,29,16
202609,1283,2,0,26,12
