"YYYYMM","Diesel","Plugin hybrid","Battery electric","Hydrogen","Others"
2018,15392,4,29,0,191
2019,14738,4,26,5,253
2020,9912,3,28,3,287
2021,10909,6,65,8,470
2022,12488,8,101,14,218
2023,14521,25,408,7,38
2024,17169,20,564,13,228
2025,8376,8,982,0,87
2026,7040,6,956.452964,1,56
