"YYYYMM","Diesel","Hybrid","Battery electric","Others"
201301,695,0,0,72
201302,794,0,0,60
201303,885,0,0,53
201304,958,0,0,54
201305,807,0,0,36
201306,938,0,0,42
201307,1066,0,0,69
201308,1839,0,0,52
201309,569,0,0,40
201310,669,0,0,79
201311,637,0,0,49
201312,598,0,0,58
201401,366,0,0,68
201402,451,0,0,29
201403,325,0,0,31
201404,197,0,0,12
201405,153,0,0,3
201406,456,0,0,22
201407,700,0,0,15
201408,524,0,0,11
201409,733,0,0,38
201410,716,0,0,21
201411,791,0,0,24
201412,873,0,0,21
201501,453,0,0,11
201502,543,0,0,18
201503,400,0,0,29
201504,529,0,0,10
201505,482,0,0,20
201506,547,0,0,17
201507,753,0,0,32
201508,560,0,0,9
201509,722,0,0,22
201510,868,0,0,15
201511,796,0,0,11
201512,1102,0,0,29
201601,600,0,0,5
201602,622,0,0,4
201603,785,0,0,12
201604,724,0,0,5
201605,370,0,0,3
201606,608,0,0,9
201607,971,0,0,4
201608,810,0,0,9
201609,866,0,0,3
201610,1025,0,0,2
201611,998,0,0,5
201612,1069,0,0,12
201701,784,0,0,6
201702,1033,0,0,4
201703,1400,0,0,4
201704,1466,0,0,5
201705,1323,0,0,3
201706,1405,0,0,6
201707,1492,0,0,2
201708,1274,0,0,3
201709,1363,0,0,5
201710,1546,0,0,5
201711,1308,0,0,1
201712,1149,0,0,2
201801,1076,0,0,3
201802,1337,0,0,3
201803,1420,0,0,3
201804,1444,0,0,1
201805,1596,0,0,1
201806,1670,0,0,2
201807,1342,0,0,3
201808,1404,0,0,1
201809,1435,0,0,0
201810,1714,0,0,2
201811,1442,0,0,6
201812,1288,0,0,1
201901,1131,0,0,2
201902,1331,0,0,1
201903,1945,0,0,2
201904,1626,0,0,3
201905,1827,0,1,17
201906,1671,0,0,12
201907,1730,0,0,7
201908,1863,0,0,9
201909,1952,0,0,3
201910,2348,0,0,4
201911,1757,0,0,0
201912,1769,0,0,2
202001,1478,0,0,2
202002,1455,0,0,0
202003,943,1,0,2
202004,171,0,0,0
202005,1557,0,0,2
202006,1472,0,0,8
202007,1952,0,0,2
202008,1765,0,0,1
202009,2102,0,0,5
202010,2103,0,0,6
202011,1438,0,0,2
202012,1793,0,0,2
202101,1155,0,0,5
202102,1251,0,0,3
202103,1985,0,0,3
202104,1715,0,0,4
202105,1388,0,0,1
202106,1467,0,1,3
202107,1725,0,7,0
202108,1504,0,5,8
202109,1831,0,1,7
202110,1809,0,1,8
202111,1607,0,0,24
202112,1893,0,2,29
202201,1254,0,0,20
202202,1322,0,0,52
202203,166,0,0,0
202204,576,0,0,1
202205,1304,0,0,17
202206,2272,0,0,7
202207,2602,0,0,1
202208,2236,0,5,4
202209,2659,0,0,8
202210,2592,0,0,7
202211,2379,0,0,3
202212,2333,0,0,1
202301,1977,0,0,2
202302,2017,0,0,1
202303,2336,0,0,1
202304,1797,0,0,4
202305,1854,0,0,2
202306,1976,0,0,0
202307,1696,0,0,1
202308,1748,0,0,1
202309,1749,0,0,2
202310,1743,0,0,2
202311,1778,0,2,6
202312,1419,0,0,2
202401,1337,0,0,0
202402,1522,0,1,0
202403,1527,0,0,4
202404,1535,0,1,2
202405,1285,0,2,0
202406,1075,0,1,2
202407,1112,0,0,1
202408,1247,0,1,3
202409,1031,0,1,5
202410,1168,0,2,1
202411,1063,0,2,4
202412,1084,0,0,0
202501,953,0,0,2
202502,919,0,0,0
202503,989,0,4,3
202504,864,0,2,6
202505,844,0,1,1
202506,798,0,1,3
202507,878,0,2,3
202508,791,0,5,2
202509,883,0,7,3
202510,1111,0,8,1
202511,874,0,4,2
202512,911,0,31,3
202601,792,0,5,2
202602,825,0,3,5
202603,974,0,1,2
202604,1077,0,5,2
202605,1189,0,7,2
202606,1192,0,11,1
202607,1230,0,8,7
202608,1072,0,6,9
