"YYYYMM","Diesel","Plugin hybrid","Battery electric","Hydrogen","Others"
201806,8918,3,18,0,85
201812,6474,1,11,0,106
201906,9784,3,19,3,177
201912,4954,1,7,2,76
202006,5523,2,18,2,131
202012,4389,1,10,1,156
202106,6252,2,22,2,324
202112,4657,4,43,6,146
202206,6741,5,32,3,176
202212,5747,3,69,11,42
202306,7728,10,185,0,22
202312,6793,15,223,7,16
202406,7745,9,309,8,69
202412,9424,11,255,5,159
202506,4396,6,363,0,34
202512,3980,2,619,0,53
202606,5470,6,726.344958,1,44
202612,1570,0,230.108006,0,12
