"YYYYMM","Diesel","Non-plugin hybrid","Plugin hybrid","Gas","Battery electric","Others"
202106,162899,479,202,2339,6181,0
202112,141872,402,112,1501,7070,0
202206,131196,620,54,1224,5609,0
202212,132869,340,29,1796,12765,0
202306,152488,432,16,1703,9246,2
202312,154643,359,18,1369,12843,0
202406,181289,455,18,1313,9784,1
202412,146715,340,264,1226,7744,0
202506,144634,475,882,1045,10859,2
202512,142490,647,5313,976,17342,2
202606,130492,516,3818,769,17457,7
202612,22360,129,598,84,3975,0
