"YYYYMM","Diesel","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201803,12998,0,0,0,4294
201806,12906,0,0,0,4557
201809,13243,0,0,0,4651
201812,13040,0,0,0,4716
201903,12822,0,0,0,4257
201906,12624,0,0,0,4182
201909,13720,0,0,0,4643
201912,12346,0,0,0,3890
202003,12710,0,0,0,3654
202006,10171,0,0,0,3001
202009,13508,0,0,0,3408
202012,19746,0,0,0,3523
202103,14217,0,0,1,3989
202106,14962,0,0,0,4009
202109,14007,0,0,0,4024
202112,14444,0,0,1,4219
202203,15349,0,0,0,4206
202206,14983,0,0,15,4201
202209,14944,0,0,5,4504
202212,13681,0,0,4,4332
202303,14285,0,0,44,4198
202306,13732,0,0,144,4535
202309,13848,0,0,56,4432
202312,13450,0,0,32,4203
202403,11534,0,0,121,3384
202406,11170,0,0,91,3583
202409,11352,0,0,148,3390
202412,10679,0,0,220,3331
202503,9601,0,0,59,3057
202506,4539,0,0,55,1908
202509,4730,0,0,187,1768
202512,7021,0,0,110,2742
202603,4644,0,0,108,1737
202606,4169,0,0,84,1961
202609,1568,0,0,48,639
