"YYYYMM","Diesel","Petrol","Plugin hybrid","Battery electric","Others"
2014,2516,33,0,0,11
2015,2679,24,0,1,3
2016,3264,43,0,0,23
2017,3438,14,0,0,21
2018,3807,60,2,0,29
2019,3815,148,1,0,56
2020,3240,131,0,5,54
2021,3310,141,0,2,83
2022,3144,108,0,15,74
2023,3728,100,5,38,78
2024,3160,73,1,63,147
2025,2662,21,0,90,156
2026,1179,6,0,26,58
