"YYYYMM","Diesel","Plugin hybrid","Battery electric","Hydrogen","Others"
201803,4877,1,5,0,33
201806,4041,2,13,0,52
201809,3328,0,5,0,43
201812,3146,1,6,0,63
201903,4730,3,9,1,106
201906,5054,0,10,2,71
201909,2503,1,7,1,35
201912,2451,0,0,1,41
202003,3598,1,11,2,68
202006,1925,1,7,0,63
202009,2249,0,3,1,71
202012,2140,1,7,0,85
202103,3363,1,11,2,160
202106,2889,1,11,0,164
202109,2276,2,21,4,71
202112,2381,2,22,2,75
202203,3572,2,12,0,112
202206,3169,3,20,3,64
202209,2761,2,32,7,22
202212,2986,1,37,4,20
202303,4221,4,88,0,9
202306,3507,6,97,0,13
202309,3891,9,114,7,5
202312,2902,6,109,0,11
202403,4000,6,135,2,38
202406,3745,3,174,6,31
202409,2821,6,126,4,54
202412,6603,5,129,1,105
202503,1687,4,146,0,9
202506,2709,2,217,0,25
202509,1969,1,270,0,27
202512,2011,1,349,0,26
202603,3014,4,345,1,25
202606,2456,2,381.344958,0,19
202609,1570,0,230.108006,0,12
