"YYYYMM","Diesel","Non-plugin hybrid","Battery electric","Others"
1995,4598,0,0,0
1996,4968,0,0,1
1997,5603,0,0,0
1998,5575,0,0,0
1999,4414,0,0,2
2000,4532,0,1,0
2001,4018,0,0,0
2002,4140,0,0,0
2003,4602,0,0,0
2004,4923,0,0,0
2005,6093,0,0,0
2006,5938,0,0,0
2007,6738,0,0,0
2008,6900,0,0,0
2009,3746,0,0,1
2010,3465,0,0,5
2011,4310,0,0,0
2012,5139,0,0,3
2013,5162,0,0,7
2014,5101,0,0,1
2015,4743,1,0,1
2016,5285,5,1,0
2017,5281,3,0,0
2018,5683,2,12,0
2019,6166,0,9,0
2020,4762,0,19,0
2021,4818,0,66,0
2022,4591,0,364,0
2023,5219,1,697,0
2024,5018,1,695,1
2025,3864,1,812,0
2026,2409,0,765,0
