"YYYYMM","Diesel","Petrol","Battery electric"
202303,625,4,5
202306,615,12,18
202309,687,9,12
202312,741,8,10
202403,545,3,8
202406,595,8,13
202409,718,14,8
202412,921,9,5
202503,624,8,19
202506,747,8,11
202509,663,14,8
202512,778,2,16
202603,674,0,23
202606,841,0,38
202609,293,0,20
