"YYYYMM","Diesel","Hybrid","Battery electric","Others"
2013,10455,0,0,664
2014,6285,0,0,295
2015,7755,0,0,223
2016,9448,0,0,73
2017,15543,0,0,46
2018,17168,0,0,26
2019,20950,0,1,62
2020,18229,1,0,32
2021,19330,0,17,95
2022,21695,0,5,121
2023,22090,0,2,24
2024,14986,0,11,22
2025,10815,0,65,29
2026,8351,0,46,30
