"YYYYMM","Diesel","Non-plugin hybrid","Plugin hybrid","Gas","Battery electric","Others"
202101,20945,84,8,351,799,0
202102,24297,69,6,395,782,0
202103,33524,105,97,445,976,0
202104,27561,67,47,402,913,0
202105,26564,81,12,376,1112,0
202106,30008,73,32,370,1599,0
202107,24598,62,15,288,1070,0
202108,22456,49,14,254,918,0
202109,22641,69,6,286,985,0
202110,23451,67,22,237,1668,0
202111,24557,89,17,217,955,0
202112,24169,66,38,219,1474,0
202201,20308,68,8,198,902,0
202202,22330,92,8,262,879,0
202203,26790,139,17,205,999,0
202204,18728,122,6,172,895,0
202205,21017,99,10,191,975,0
202206,22023,100,5,196,959,0
202207,19633,76,7,272,1445,0
202208,20814,58,3,272,1434,0
202209,21274,56,2,271,1289,0
202210,20425,42,2,332,1291,0
202211,27029,53,6,295,2573,0
202212,23694,55,9,354,4733,0
202301,23365,98,2,244,754,0
202302,23777,65,0,261,1025,1
202303,30460,77,5,323,1682,0
202304,21992,46,4,230,1323,0
202305,25881,49,3,268,1990,1
202306,27013,97,2,377,2472,0
202307,25167,56,0,208,2678,0
202308,28951,70,4,440,5294,0
202309,24179,80,2,128,924,0
202310,25114,45,6,179,1289,0
202311,28017,64,3,204,1384,0
202312,23215,44,3,210,1274,0
202401,25725,84,0,217,1192,0
202402,28021,65,2,256,1696,0
202403,30945,84,2,233,1535,0
202404,29050,90,7,208,1511,0
202405,26449,60,2,150,1080,0
202406,41099,72,5,249,2770,1
202407,25080,67,2,188,1300,0
202408,20599,64,8,139,655,0
202409,21690,61,14,170,807,0
202410,27634,46,27,262,1792,0
202411,26649,58,37,206,1646,0
202412,25063,44,176,261,1544,0
202501,24519,106,65,352,1318,0
202502,21098,118,61,120,1533,1
202503,25740,81,100,163,1859,0
202504,23519,57,135,187,1501,0
202505,23074,46,178,107,2082,0
202506,26684,67,343,116,2566,1
202507,25785,108,680,152,2663,1
202508,21635,78,558,88,2759,0
202509,24179,121,829,246,2749,0
202510,24877,74,934,170,2799,1
202511,24292,120,1276,150,3291,0
202512,21722,146,1036,170,3081,0
202601,18377,66,583,106,2133,1
202602,19568,70,590,91,2080,1
202603,24515,92,677,110,2830,0
202604,21368,79,692,109,3148,1
202605,20134,118,671,102,2954,0
202606,26530,91,605,251,4312,4
202607,22360,129,598,84,3975,0
