"YYYYMM","Diesel","Petrol","LPG","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
202305,5794,0,0,0,0,10,44
202306,6247,0,0,0,0,10,52
202307,6055,0,0,0,0,2,70
202308,7957,0,0,0,0,9,78
202309,4222,0,0,0,0,10,22
202310,5609,0,0,0,0,13,30
202311,6072,0,0,0,0,20,14
202312,5727,0,0,0,0,3,92
202401,4185,0,0,0,0,4,14
202402,4531,0,0,0,0,14,40
202403,5462,0,0,0,0,24,10
202404,4757,0,0,0,0,17,2
202405,5263,0,0,0,0,12,30
202406,6294,0,0,0,0,25,40
202407,3860,0,0,0,0,13,12
202408,2738,0,0,0,0,5,8
202409,4081,0,0,0,0,7,16
202410,5272,0,0,0,0,9,30
202411,4054,0,0,0,0,10,18
202412,4462,0,0,0,0,14,36
202501,3047,0,0,0,0,12,40
202502,4253,0,0,0,0,8,33
202503,5059,0,0,0,0,20,18
202504,5282,0,0,0,0,9,30
202505,4923,0,0,0,0,15,16
202506,6902,0,0,0,0,16,38
202507,4213,0,0,0,0,40,30
202508,3471,0,0,0,0,21,9
202509,5414,0,0,0,0,10,22
202510,6216,0,0,0,0,13,72
202511,4412,0,0,0,0,32,38
202512,4769,0,0,0,0,42,34
202601,3833,0,0,0,0,29,7
202602,5319,0,0,0,0,12,50
202603,6806,0,0,0,0,15,96
202604,6589,0,0,0,0,24,33
202605,5661,0,0,0,0,9,20
202606,7557,0,0,0,0,41,76
202607,4339,0,0,0,0,19,44
202608,3317,0,0,0,0,39,38
