"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1994,-10.783645,,,,
1995,-10.783645,,,,
1996,-10.783645,,,,
1997,-10.783645,,,,
1998,-10.783645,,,,
1999,-10.783645,,,,
2000,-10.783645,,,,
2001,-10.783645,,,,
2002,-10.752902,,,0.338600,
2003,-10.817710,,,-0.375179,
2004,-10.861472,,,-0.857160,
2005,-10.900326,,,-1.285091,
2006,-10.918221,,,-1.482178,
2007,-10.926830,,,-1.576996,
2008,-10.938813,,,-1.708982,
2009,-10.950797,,,-1.840968,
2010,-10.959068,,,,
2011,-10.972591,,,-2.081006,
2012,-10.985669,,,-2.225045,
2013,-10.998747,,,-2.369083,
2014,-11.011826,,,-2.513122,
2015,-11.048111,,,-2.912764,
2016,-11.089356,,,-3.367021,
2017,-11.127620,,,-3.788454,
2018,-11.179813,,,-4.363296,
2019,-11.178986,,,-4.354187,
2020,-11.412245,,,-6.923249,
2021,-11.448011,,,-7.317169,
2022,-11.361042,,,-6.697914,
