"Year","Nepal","World"
1950,0.003055,2.378734
1951,0.003419,2.515504
1952,0.003351,2.502896
1953,0.004108,2.524970
1954,0.004435,2.527923
1955,0.004749,2.716614
1956,0.005052,2.835461
1957,0.005726,2.869636
1958,0.006003,2.891376
1959,0.006636,2.985590
1960,0.007962,3.112931
1961,0.007812,3.071906
1962,0.008358,3.120741
1963,0.009220,3.215595
1964,0.013724,3.315825
1965,0.016068,3.391959
1966,0.016700,3.484865
1967,0.018237,3.523155
1968,0.021234,3.640223
1969,0.032824,3.802135
1970,0.018267,4.032588
1971,0.015567,4.112597
1972,0.020592,4.219747
1973,0.031740,4.355556
1974,0.031314,4.253289
1975,0.025357,4.173319
1976,0.019879,4.310191
1977,0.023201,4.352449
1978,0.022169,4.432504
1979,0.033729,4.465701
1980,0.034803,4.364099
1981,0.028462,4.168842
1982,0.027142,4.060496
1983,0.029505,4.023942
1984,0.041054,4.068703
1985,0.038679,4.137420
1986,0.039009,4.122175
1987,0.047159,4.179654
1988,0.052363,4.262697
1989,0.046887,4.241189
1990,0.036950,4.266701
1991,0.051222,4.282473
1992,0.059823,4.090168
1993,0.065974,4.068620
1994,0.074568,4.047994
1995,0.103793,4.083544
1996,0.103456,4.148108
1997,0.113746,4.114970
1998,0.093889,4.044522
1999,0.132272,4.079117
2000,0.123742,4.133621
2001,0.129719,4.107635
2002,0.102506,4.144280
2003,0.109401,4.307030
2004,0.099260,4.399256
2005,0.113525,4.493561
2006,0.092469,4.585831
2007,0.095949,4.661509
2008,0.124317,4.682571
2009,0.151846,4.545518
2010,0.176577,4.744937
2011,0.189946,4.848876
2012,0.198666,4.854014
2013,0.225366,4.837742
2014,0.274197,4.804597
2015,0.248158,4.739116
2016,0.360861,4.682487
2017,0.443450,4.705259
2018,0.499970,4.752195
2019,0.448739,4.747814
2020,0.539615,4.457744
2021,0.525402,4.634748
2022,0.592587,4.678452
2023,0.617884,4.707772
2024,0.633235,4.729075
