"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil"
2020,"NaN","NaN",-0.410000,"NaN",0.080000,0,"NaN"
2021,"NaN",0.050000,0.080000,"NaN",-0.080000,0,"NaN"
2022,"NaN",0,-0.010000,"NaN",0.030000,0,"NaN"
2023,"NaN","NaN",0.180000,"NaN",-0.040000,-0.020000,"NaN"
2024,"NaN","NaN",0.030000,"NaN",0.010000,0.020000,"NaN"
