"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil"
2013,-0.170000,0.130000,2.710000,"NaN","NaN","NaN","NaN"
2014,-0.220000,2.040000,-0.510000,"NaN","NaN","NaN","NaN"
2015,-0.140000,1.400000,0.310000,"NaN","NaN","NaN","NaN"
2016,0.150000,1.290000,0.570000,"NaN","NaN","NaN","NaN"
2017,0.630000,0.270000,1.160000,"NaN","NaN","NaN","NaN"
2018,0.520000,0.410000,1.350000,"NaN","NaN","NaN","NaN"
2019,0.750000,2.200000,-1.760000,"NaN","NaN","NaN","NaN"
2020,0.150000,2.260000,-1.720000,"NaN","NaN","NaN","NaN"
2021,-0.320000,-0.360000,0.710000,"NaN","NaN",0,"NaN"
2022,-1.440000,-0.140000,-0.420000,"NaN","NaN",0.020000,"NaN"
