"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
2000,,,,,
2001,,,,,
2002,150.366749,,,,
2003,22.617051,,-0.001604,-0.023608,
2004,35.719287,,,-0.023608,
2005,13.935828,,,-0.023608,
2006,28.743362,,-1.413199,-0.023608,
2007,-13.874362,,,-0.023608,
2008,136.978767,,,-0.023608,
2009,-34.389939,,,-0.023608,
2010,167.797259,,,-0.023608,
2011,254.919491,,,-0.023608,
2012,74.116104,,,-0.023608,
2013,80.354769,,,-0.023608,
2014,-11.603523,,,-0.023608,
2015,-50.959376,,,-0.023608,
2016,-67.267701,,,-0.023608,
2017,-35.224095,,,-0.023608,
2018,-59.181195,,,-0.005734,
2019,-61.183768,,,-0.005734,
2020,-59.179370,,,-0.005734,
2021,-43.822894,,,-0.005734,
2022,-73.806842,,,-0.005741,
