"Year","Residential: Stationary combustion"
2000,0.000996
2001,0.000996
2002,0.000996
2003,0.000996
2004,0.000990
2005,0.000987
2006,0.000981
2007,0.000984
2008,0.000987
2009,0.000988
2010,0.000988
2011,0.000997
2012,0.000860
2013,0.000959
2014,0.000994
2015,0.001029
2016,0.000724
2017,0.001298
2018,0.002841
2019,0.000595
2020,0.000615
2021,0.000690
2022,0.000759
