"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
2000,,,,,,,,0
2001,,,,,,,,0
2002,151.039779,-0.094673,2.549289,0,0,0,,0
2003,23.370001,0.341415,2.793298,0,0.330516,0.185669,,0
2004,36.540943,-0.079769,2.561268,0,-0.001983,0.014929,,0
2005,14.575631,-0.079769,2.749896,0,-0.001983,0.014929,,0
2006,28.091656,-0.079769,1.488555,0,-0.001983,0.014929,,0
2007,-13.466827,-0.079769,0.861021,0,-0.001983,0.014929,,0
2008,138.640765,-0.079769,3.078266,0,-0.001983,0.014929,,0
2009,-34.154127,-0.079769,0.557316,0,-0.001983,0.014929,,0
2010,169.714618,-0.079769,3.529458,0,-0.001983,0.014929,,0
2011,257.148220,-0.079769,4.009764,0,-0.001983,0.014929,,0
2012,75.662833,-0.079769,2.943610,0,-0.001983,0.014929,,0
2013,81.543623,-0.079769,2.241606,0,-0.001983,0.014929,,0
2014,-11.180056,-0.079769,0.888682,0,-0.001983,0.014929,,0
2015,-50.863682,-0.079769,0.309264,0,-0.001983,0.014929,,0
2016,-67.307701,-0.079769,0.069413,0,-0.001983,0.014929,,0
2017,-34.997534,-0.079769,0.540572,0,-0.001983,0.014929,,0
2018,-59.136230,-0.088482,0.182303,0.026397,-0.001182,0,,0
2019,-61.155642,-0.088482,0.152511,0,-0.001182,0,,0
2020,-59.134746,-0.088482,0.181640,0,-0.001182,0,,0
2021,-43.650692,-0.088482,0.407112,0,-0.001182,0,,0
2022,-73.725411,-0.088487,0.273590,0,-0.001184,0,,0
