"Year","Electricity generation","Other energy industries","Food processing, beverages and tobacco","Residential: Stationary combustion","All others"
2010,0.100441,0.545139,1.127941,1.796194,0.141133
2020,0.376430,0.629812,0.743709,1.849748,0.136624
2021,0.441097,0.634505,0.768957,1.858149,0.153651
2022,0.661861,0.719891,0.861851,2.076835,0.153464
