"Year","Algeria","Angola","Argentina","Australia","Azerbaijan","Bahrain","Bangladesh","Bolivia","Brazil","Brunei","Bulgaria","Canada","Chad","China","Colombia","Czech Republic","Denmark","Ecuador","Egypt","Equatorial Guinea","Gabon","Germany","Greece","Guyana","Hungary","India","Indonesia","Iran","Iraq","Israel","Italy","Japan","Kazakhstan","Kuwait","Libya","Malaysia","Mexico","Mongolia","Myanmar","Netherlands","New Zealand","Nigeria","Norway","Oman","Pakistan","Peru","Poland","Qatar","Republic of Congo","Romania","Russian Federation","Saudi Arabia","Serbia","South Africa","South Korea","South Sudan","Spain","Sudan","Syria","Thailand","Trinidad & Tobago","Tunisia","Turkey","Turkmenistan","US","USSR","Ukraine","United Arab Emirates","United Kingdom","Uzbekistan","Venezuela","Vietnam","Yemen","Zimbabwe","World"
1950,0.00,,0.64,6.41,,,,,,,0.51,3.97,,0.15,1.47,6.84,,0.31,0.36,,,5.54,0.01,,1.49,0.18,0.33,5.68,3.25,,0.02,0.91,,318.18,,0.03,1.19,,,0.00,3.09,,,,0.02,0.87,6.71,194.20,,1.43,,45.20,,4.53,0.05,,0.57,,,,14.35,,0.20,,14.71,,,,10.35,,40.86,0.04,,1.91,
1951,0.00,,0.66,6.64,,,,,,,0.55,4.34,,0.18,1.60,7.27,,0.31,0.35,,,6.06,0.01,,1.70,0.18,0.38,2.92,4.15,,0.04,1.01,,504.67,,0.02,1.23,,,0.00,2.76,,,,0.02,0.90,6.92,276.16,,1.71,,60.80,,4.47,0.03,,0.59,,,,14.02,,0.20,,15.74,,,,10.61,,44.58,0.06,,2.00,
1952,0.01,,0.66,7.00,,,,,,,0.63,4.45,,0.23,1.50,7.82,,0.32,0.35,,,6.23,0.02,,2.05,0.19,0.40,0.23,8.73,,0.06,1.00,,653.52,,0.02,1.21,,,0.00,3.05,,,,0.03,0.89,7.01,375.01,,2.11,,63.76,,4.61,0.05,,0.63,,,,13.92,,0.20,,14.91,,,,10.75,,45.42,0.07,,2.16,
1953,0.02,,0.71,6.64,,,,,,,0.71,4.63,,0.24,1.57,7.93,,0.33,0.35,,,6.49,0.03,,2.30,0.18,0.46,0.21,12.95,,0.10,1.06,,729.56,,0.02,1.11,,,0.00,2.72,,,,0.03,0.84,7.26,446.03,,2.49,,62.86,,4.57,0.07,,0.64,,,,13.92,,0.24,,14.76,,,,10.59,,42.68,0.07,,2.14,
1954,0.02,,0.72,6.95,,,,,,,0.75,4.81,,0.28,1.61,8.55,,0.33,0.29,,,6.74,0.05,,2.33,0.18,0.48,0.48,13.72,,0.12,0.96,,787.51,,0.03,1.23,,,0.02,2.74,,,,0.03,0.87,7.37,507.36,,2.44,,69.03,,4.61,0.07,,0.64,,,0.00,14.29,,0.24,,13.72,,,,10.54,,44.05,0.08,,2.18,
1955,0.01,,0.73,7.01,,,,,,,0.84,5.47,,0.33,1.62,8.98,,0.37,0.22,,,7.12,0.05,,2.39,0.19,0.50,2.50,14.64,,0.16,0.94,,843.39,,0.03,1.29,,,0.02,2.64,,,,0.03,0.85,7.47,565.53,,2.61,,67.72,,4.93,0.10,,0.63,,,0.00,14.54,,0.23,,14.97,,,,10.38,,48.17,0.09,,2.55,
1956,0.01,0.00,0.74,6.95,,,,,,,0.90,6.34,,0.36,1.77,9.88,,0.34,0.21,,,7.31,0.05,,2.20,0.19,0.53,4.02,13.57,,0.21,1.02,,763.49,,0.03,1.27,,,0.03,2.66,,,,0.04,0.88,7.40,590.38,,2.71,,67.18,,5.04,0.14,,0.65,,,0.00,16.36,,0.24,,15.78,,,,10.35,,52.86,0.09,,2.65,
1957,0.00,0.01,0.79,6.98,,,,,,,0.98,6.29,,0.42,1.84,10.59,,0.31,0.28,,0.98,7.37,0.06,,2.26,0.20,0.62,5.20,9.31,,0.27,1.13,,735.96,,0.02,1.23,0.78,,0.02,2.59,0.00,,,0.03,0.91,7.17,637.35,,2.82,,66.03,,5.09,0.18,,0.71,,,0.00,18.65,,0.27,,15.56,,,,10.38,,57.46,0.08,,2.78,
1958,0.11,0.03,0.82,7.15,,,,,,,1.03,5.96,,0.81,1.78,11.31,,0.30,0.36,,2.85,7.28,0.07,,2.58,0.21,0.62,5.80,14.86,,0.29,1.08,,819.44,,0.02,1.34,0.88,,0.03,2.63,0.02,,,0.04,0.85,7.19,762.49,,2.95,,65.64,,5.30,0.19,,0.74,,,0.01,19.92,,0.27,,14.05,,,,9.96,,52.00,0.11,,2.48,
1959,0.32,0.03,0.96,7.27,,,,,,,1.24,6.41,,1.08,1.94,11.00,,0.26,0.35,,4.20,7.11,0.09,,2.68,0.21,0.67,6.34,17.09,,0.33,1.02,,736.21,,0.02,1.39,1.09,,0.03,2.66,0.04,,,0.05,0.78,7.48,701.62,,3.05,,69.18,,5.08,0.28,,0.67,,,0.00,21.23,,0.25,,14.46,,,,9.46,,53.30,0.16,,2.55,
