"Year","Algeria","Angola","Argentina","Australia","Azerbaijan","Bahrain","Bangladesh","Bolivia","Brazil","Brunei","Bulgaria","Canada","Chad","China","Colombia","Czech Republic","Denmark","Ecuador","Egypt","Equatorial Guinea","Gabon","Germany","Greece","Guyana","Hungary","India","Indonesia","Iran","Iraq","Israel","Italy","Japan","Kazakhstan","Kuwait","Libya","Malaysia","Mexico","Mongolia","Myanmar","Netherlands","New Zealand","Nigeria","Norway","Oman","Pakistan","Peru","Poland","Qatar","Republic of Congo","Romania","Russian Federation","Saudi Arabia","Serbia","South Africa","South Korea","South Sudan","Spain","Sudan","Syria","Thailand","Trinidad & Tobago","Tunisia","Turkey","Turkmenistan","US","USSR","Ukraine","United Arab Emirates","United Kingdom","Uzbekistan","Venezuela","Vietnam","Yemen","Zimbabwe","World"
1850,,,,0.2,,,,,,,,0.5,,,,1.1,,,,,,6.7,,,0.1,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,16.2,,,,136.4,,,,,,
1851,,,,0.1,,,,,,,,0.4,,,,1.3,,,,,,7.5,,,0.2,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,20.4,,,,141.1,,,,,,
1852,,,,0.1,,,,,,,,0.5,,,,1.6,,,,,,8.6,,,0.2,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,22.8,,,,145.8,,,,,,
1853,,,,0.2,,,,,,,,0.6,,,,1.8,,,,,,9.2,,,0.2,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,25.1,,,,150.6,,,,,,
1854,,,,0.3,,,,,,,,0.6,,,,2.0,,,,,,10.5,,,0.3,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,29.6,,,,155.0,,,,,,
1855,,,,0.3,,,,,,,,0.6,,,,2.3,,,,,,12.2,,,0.3,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,31.9,,,,154.5,,,,,,
1856,,,,0.4,,,,,,,,0.7,,,,2.7,,,,,,13.2,,,0.3,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,33.7,,,,159.8,,,,,,
1857,,,,0.5,,,,,,,,0.8,,,,2.9,,,,,,14.4,,,0.3,,,,,,,,,,,,,,,,,,,,,,4.4,,,0.0,,,,,,,,,,,,,,,34.5,,,,156.8,,,,,,
1858,,,,0.5,,,,,,,,0.6,,,,3.2,,,,,,15.6,,,0.4,,,,,,,,,,,,,,,,,,,,,,4.8,,,0.0,,,,,,,,,,,,,,,35.0,,,,155.8,,,,,,
1859,,,,0.7,,,,,,,,0.7,,,,3.5,,,,,,15.2,,,0.4,,,,,,,,,,,,,,,,,,,,,,4.5,,,0.0,,,,,,,,,,,,,,,38.1,,,,172.5,,,,,,
1860,,,,0.8,,,,,,,,0.9,,,,4.0,,,,,,16.1,,,0.5,,,,,,0.0,,,,,,,,,,,,,,,,4.8,,,0.0,,,,,,,0.4,,,,,,,,39.9,,,,191.9,,,,,,
1861,,,,0.8,,,,,,,,0.9,,,,4.5,,,,,,18.0,,,0.5,,,,,,0.0,,,,,,,,,,,,,,,,5.5,,,0.0,,,,,,,0.5,,,,,,,,38.3,,,,200.5,,,,,,
1862,,,,1.1,,,,,,,,1.1,,,,5.1,,,,,,19.9,,,0.6,,,,,,0.0,,,,,,,,,,,,,,,,6.1,,,0.0,,,,,,,0.5,,,,,,,,39.8,,,,195.7,,,,,,
1863,,,,1.0,,,,,,,,1.2,,,,5.0,,,,,,21.5,,,0.6,,,,,,0.0,,,,,,,,,,,,,,,,6.6,,,0.0,,,,,,,0.6,,,,,,,,46.9,,,,206.8,,,,,,
1864,,,,1.3,,,,,,,,1.6,,,,5.1,,,,,,24.6,,,0.6,,,,,,0.0,,,,,,,,,,,,,,,,7.6,,,0.0,,,,,,,0.5,,,,,,,,48.7,,,,222.4,,,,,,
1865,,,,1.4,,,,,,,,1.8,,,,5.6,,,,,,27.4,,,0.7,,,,,,0.0,,,,,,,,,,,,,,,,8.6,,,0.0,,,,,,,0.6,,,,,,,,49.9,,,,235.3,,,,,,
1866,,,,1.8,,,,,,,,1.5,,,,5.3,,,,,,27.0,,,0.8,,,,,,0.0,,,,,,,,,,,,,,,,8.5,,,0.0,,,,,,,0.6,,,,,,,,59.0,,,,243.6,,,,,,
1867,,,,1.7,,,,,,,,1.4,,,,6.7,,,,,,29.5,,,1.0,,,,,,0.0,,,,,,,,,,,,,,,,9.3,,,0.0,,,,,,,0.6,,,,,,,,60.7,,,,250.5,,,,,,
