"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil","Other"
2020,3.590000,-7.420000,4.100000,0,0,0,0,0.100000
2021,-4.380000,-8.930000,2.640000,0,0,17.750000,0,-1.400000
2022,-13.280000,1.630000,23.610000,0,0,0.520000,0,0.000000
2023,23.530000,-1.250000,-19.170000,0,1.980000,-0.910000,0,1.610000
2024,19.770000,-4.690000,14.940000,0,1.160000,0.320000,0,-1.610000
