"Year","Emissions","Plus1SD","Minus1SD"
1990,6.209798,6.520288,5.899308
1991,6.339922,6.656918,6.022926
1992,6.159170,6.467129,5.851212
1993,6.222257,6.533370,5.911144
1994,6.286784,6.601123,5.972444
1995,6.420440,6.741462,6.099418
1996,6.618494,6.949419,6.287570
1997,6.658283,6.991198,6.325369
1998,6.640542,6.972569,6.308515
1999,6.777700,7.116586,6.438815
2000,6.959958,7.307956,6.611961
2001,7.007350,7.357717,6.656982
2002,7.163834,7.522026,6.805643
2003,7.546029,7.923330,7.168727
2004,7.811188,8.201747,7.420629
2005,8.076447,8.480270,7.672625
2006,8.353102,8.770758,7.935447
2007,8.597089,9.026943,8.167235
2008,8.745061,9.182314,8.307808
2009,8.595324,9.025090,8.165558
2010,9.090155,9.544663,8.635647
2011,9.398600,9.868530,8.928670
2012,9.534785,10.011525,9.058046
2013,9.615848,10.096640,9.135056
2014,9.679638,10.163620,9.195656
2015,9.678825,10.162766,9.194884
2016,9.677955,10.161852,9.194057
2017,9.832274,10.323888,9.340660
2018,10.034647,10.536379,9.532914
2019,10.109199,10.614658,9.603739
2020,9.554514,10.032240,9.076788
2021,10.048183,10.550592,9.545774
2022,10.139133,10.646090,9.632177
2023,10.247588,10.867273,9.628279
