"Year","Cement emissions","Cement carbonation"
1959,0.039641,-0.012542
1960,0.042957,-0.013682
1961,0.044799,-0.014548
1962,0.048135,-0.015680
1963,0.050760,-0.016653
1964,0.056266,-0.018220
1965,0.059078,-0.019233
1966,0.063604,-0.020643
1967,0.065481,-0.021657
1968,0.069713,-0.023210
1969,0.073920,-0.024632
1970,0.078736,-0.026129
1971,0.082803,-0.027600
1972,0.087761,-0.030070
1973,0.092936,-0.032170
1974,0.093067,-0.032926
1975,0.092533,-0.033594
1976,0.096629,-0.035522
1977,0.101190,-0.037887
1978,0.107687,-0.040506
1979,0.109104,-0.041961
1980,0.109857,-0.043189
1981,0.109885,-0.044044
1982,0.109375,-0.044841
1983,0.111793,-0.046304
1984,0.113907,-0.047710
1985,0.115298,-0.049042
1986,0.120109,-0.051367
1987,0.125247,-0.053741
1988,0.131882,-0.056904
1989,0.134578,-0.056755
1990,0.134724,-0.056126
1991,0.138503,-0.059527
1992,0.144256,-0.060295
1993,0.150459,-0.064403
1994,0.160597,-0.067875
1995,0.169839,-0.071509
1996,0.173338,-0.074214
1997,0.180362,-0.076983
1998,0.179680,-0.077747
1999,0.188458,-0.080513
2000,0.196897,-0.083537
2001,0.205771,-0.086109
2002,0.213397,-0.090523
2003,0.234719,-0.097275
2004,0.245244,-0.104065
2005,0.263084,-0.111161
2006,0.286935,-0.121018
2007,0.308177,-0.130368
2008,0.312055,-0.134661
2009,0.320802,-0.141512
2010,0.342487,-0.150279
2011,0.368225,-0.162719
2012,0.377774,-0.169240
2013,0.393805,-0.177229
2014,0.409254,-0.184932
2015,0.394227,-0.185939
2016,0.404715,-0.188004
2017,0.410625,-0.192073
2018,0.427348,-0.198196
2019,0.440987,-0.201583
2020,0.445701,-0.206858
2021,0.461901,-0.216463
2022,0.438175,-0.217465
2023,0.441826,-0.214578
