"Year","Bunkers","All others","India","China","EU27","USA"
1959,0.058234,0.831680,0.027688,0.196548,0.529611,0.772905
1960,0.064984,0.884692,0.030383,0.218013,0.572972,0.790752
1961,0.071839,0.920925,0.032861,0.155740,0.600160,0.787902
1962,0.074482,0.964427,0.036185,0.125442,0.642437,0.817113
1963,0.077972,1.021413,0.038877,0.124667,0.685641,0.853299
1964,0.085419,1.092468,0.038070,0.125720,0.721452,0.890915
1965,0.088235,1.161750,0.041949,0.136541,0.730407,0.927824
1966,0.095475,1.221045,0.043497,0.149962,0.752655,0.974733
1967,0.102148,1.287522,0.043547,0.125608,0.769469,1.011316
1968,0.108043,1.366101,0.047508,0.135237,0.816751,1.048286
1969,0.113102,1.456052,0.048421,0.165852,0.870966,1.101295
1970,0.119230,1.583312,0.049597,0.220511,0.909029,1.184412
1971,0.125904,1.678571,0.052392,0.248147,0.934648,1.191448
1972,0.134258,1.755475,0.055414,0.264368,0.970186,1.248094
1973,0.143655,1.863192,0.057067,0.275189,1.017446,1.305978
1974,0.133434,1.895947,0.058912,0.280595,1.012194,1.261217
1975,0.122125,1.929810,0.063922,0.322930,0.992355,1.222237
1976,0.119742,2.023966,0.066798,0.334722,1.067607,1.295802
1977,0.122521,2.096918,0.070677,0.365947,1.057088,1.334516
1978,0.124356,2.158106,0.071820,0.407418,1.092703,1.348642
1979,0.124804,2.243995,0.075405,0.416392,1.122581,1.366987
1980,0.121796,2.282728,0.079615,0.407886,1.112855,1.312379
1981,0.112433,2.255387,0.085962,0.402972,1.054416,1.279045
1982,0.101779,2.276687,0.088805,0.438478,1.029315,1.213782
1983,0.097721,2.298998,0.096124,0.462395,1.017600,1.208904
1984,0.098075,2.360870,0.098679,0.503501,1.027182,1.272428
1985,0.100170,2.475223,0.108513,0.545328,1.042735,1.269823
1986,0.107332,2.515020,0.116351,0.574294,1.038554,1.272770
1987,0.143841,2.549214,0.124275,0.616195,1.047936,1.317061
1988,0.148747,2.665490,0.134195,0.662089,1.036543,1.378423
1989,0.154114,2.686340,0.147558,0.672395,1.046680,1.400711
1990,0.149796,2.770091,0.157750,0.678181,1.056339,1.397641
1991,0.148387,2.892143,0.167949,0.711271,1.038362,1.381811
1992,0.151351,2.667457,0.178888,0.745302,1.003991,1.412180
1993,0.152320,2.663377,0.184852,0.797394,0.985218,1.439097
1994,0.159737,2.641008,0.194886,0.847090,0.980012,1.464050
1995,0.168759,2.653314,0.207550,0.917477,0.992647,1.480693
1996,0.182763,2.705563,0.224787,0.957647,1.015806,1.531928
1997,0.192206,2.722277,0.234173,0.959496,0.997690,1.552441
1998,0.203921,2.719515,0.239021,0.918283,0.995042,1.564760
1999,0.211282,2.772201,0.259405,0.970872,0.979902,1.584039
2000,0.214134,2.859806,0.266792,0.995961,0.982945,1.640321
2001,0.212628,2.895845,0.270461,1.017607,0.998435,1.612374
2002,0.217904,2.925756,0.278839,1.119826,0.998609,1.622901
2003,0.226778,3.047005,0.289072,1.321266,1.021584,1.640324
2004,0.246561,3.140746,0.307068,1.423949,1.024562,1.668301
2005,0.256420,3.198068,0.323601,1.605388,1.019338,1.673631
2006,0.270698,3.283267,0.352752,1.772472,1.021978,1.651934
2007,0.286316,3.339580,0.380051,1.905998,1.012076,1.673068
2008,0.289057,3.398577,0.406506,2.047352,0.989181,1.614388
2009,0.277016,3.319794,0.440015,2.153682,0.908986,1.495831
2010,0.294691,3.498214,0.457789,2.352791,0.936530,1.550141
2011,0.302479,3.590075,0.481635,2.601640,0.909092,1.513678
2012,0.299306,3.693021,0.525573,2.669038,0.889309,1.458539
2013,0.303680,3.687125,0.544514,2.717352,0.867501,1.495676
2014,0.305790,3.719569,0.586338,2.728896,0.830126,1.508920
2015,0.316618,3.748013,0.609776,2.692945,0.844094,1.467378
2016,0.320327,3.770669,0.642647,2.665128,0.845523,1.433661
2017,0.334646,3.829041,0.662284,2.732301,0.851469,1.422533
2018,0.344274,3.857668,0.707712,2.825855,0.831397,1.467739
2019,0.345030,3.896200,0.713124,2.926049,0.792621,1.436175
2020,0.234382,3.675982,0.660904,2.978715,0.717787,1.286743
2021,0.247820,3.837363,0.729864,3.093950,0.765765,1.373421
2022,0.286392,3.835920,0.772283,3.110474,0.753796,1.380269
2023,0.320556,3.819445,0.835903,3.235520,0.697933,1.338236
