"Year","EU27_prod","EU27_cons","IND_prod","IND_cons","USA_prod","USA_cons","CHN_prod","CHN_cons"
1990,1.056339,1.201404,0.157750,0.157051,1.397641,1.377737,0.678181,0.633282
1991,1.038362,1.169822,0.167949,0.162878,1.381811,1.354059,0.711271,0.654989
1992,1.003991,1.255998,0.178888,0.176463,1.412180,1.405083,0.745302,0.703055
1993,0.985218,1.172452,0.184852,0.177930,1.439097,1.421256,0.797394,0.752487
1994,0.980012,1.141813,0.194886,0.186516,1.464050,1.449933,0.847090,0.750570
1995,0.992647,1.157896,0.207550,0.196285,1.480693,1.466280,0.917477,0.817127
1996,1.015806,1.145829,0.224787,0.209696,1.531928,1.512116,0.957647,0.852978
1997,0.997690,1.122380,0.234173,0.219451,1.552441,1.540941,0.959496,0.834760
1998,0.995042,1.136728,0.239021,0.223717,1.564760,1.586145,0.918283,0.807799
1999,0.979902,1.136743,0.259405,0.247440,1.584039,1.634865,0.970872,0.865832
2000,0.982945,1.150112,0.266792,0.247863,1.640321,1.706861,0.995961,0.890428
2001,0.998435,1.151039,0.270461,0.249541,1.612374,1.685832,1.017607,0.916527
2002,0.998609,1.145397,0.278839,0.253506,1.622901,1.717651,1.119826,0.996211
2003,1.021584,1.189331,0.289072,0.267974,1.640324,1.770937,1.321266,1.112925
2004,1.024562,1.206457,0.307068,0.282765,1.668301,1.806122,1.423949,1.177837
2005,1.019338,1.231020,0.323601,0.299232,1.673631,1.835170,1.605388,1.287605
2006,1.021978,1.256797,0.352752,0.321748,1.651934,1.830709,1.772472,1.401597
2007,1.012076,1.258266,0.380051,0.353809,1.673068,1.812013,1.905998,1.513489
2008,0.989181,1.248980,0.406506,0.376901,1.614388,1.723622,2.047352,1.629110
2009,0.908986,1.129083,0.440015,0.416278,1.495831,1.577361,2.153682,1.834441
2010,0.936530,1.173523,0.457789,0.430586,1.550141,1.628224,2.352791,2.002402
2011,0.909092,1.135885,0.481635,0.445169,1.513678,1.588130,2.601640,2.221045
2012,0.889309,1.061663,0.525573,0.488503,1.458539,1.542635,2.669038,2.319391
2013,0.867501,1.028550,0.544514,0.486187,1.495676,1.566215,2.717352,2.381262
2014,0.830126,0.995781,0.586338,0.534885,1.508920,1.593019,2.728896,2.405992
2015,0.844094,0.982261,0.609776,0.571834,1.467378,1.580317,2.692945,2.420335
2016,0.845523,0.986722,0.642647,0.594765,1.433661,1.544958,2.665128,2.419494
2017,0.851469,0.997731,0.662284,0.620494,1.422533,1.536885,2.732301,2.495221
2018,0.831397,1.005784,0.707712,0.661914,1.467739,1.582465,2.825855,2.624295
2019,0.792621,0.962533,0.713124,0.667989,1.436175,1.551770,2.926049,2.710907
2020,0.717787,0.875704,0.660904,0.613464,1.286743,1.415545,2.978715,2.724927
2021,0.765765,0.954727,0.729864,0.668047,1.373421,1.520790,3.093950,2.816618
