"Year","LUC","LUC_upper","LUC_lower"
1959,2.121527,2.821527,1.421527
1960,1.864403,2.564403,1.164403
1961,1.787483,2.487483,1.087483
1962,1.657757,2.357757,0.957757
1963,1.604057,2.304057,0.904057
1964,1.565253,2.265253,0.865253
1965,1.420730,2.120730,0.720730
1966,1.374057,2.074057,0.674057
1967,1.411203,2.111203,0.711203
1968,1.428043,2.128043,0.728043
1969,1.340483,2.040483,0.640483
1970,1.395793,2.095793,0.695793
1971,1.315317,2.015317,0.615317
1972,1.316110,2.016110,0.616110
1973,1.281467,1.981467,0.581467
1974,1.245677,1.945677,0.545677
1975,1.258953,1.958953,0.558953
1976,1.252953,1.952953,0.552953
1977,1.253063,1.953063,0.553063
1978,1.216277,1.916277,0.516277
1979,1.154373,1.854373,0.454373
1980,1.202650,1.902650,0.502650
1981,1.270447,1.970447,0.570447
1982,1.276380,1.976380,0.576380
1983,1.408210,2.108210,0.708210
1984,1.628533,2.328533,0.928533
1985,1.502267,2.202267,0.802267
1986,1.553717,2.253717,0.853717
1987,1.505067,2.205067,0.805067
1988,1.446150,2.146150,0.746150
1989,1.430363,2.130363,0.730363
1990,1.410180,2.110180,0.710180
1991,1.350037,2.050037,0.650037
1992,1.425520,2.125520,0.725520
1993,1.399853,2.099853,0.699853
1994,1.576537,2.276537,0.876537
1995,1.539160,2.239160,0.839160
1996,1.636820,2.336820,0.936820
1997,2.041757,2.741757,1.341757
1998,1.682623,2.382623,0.982623
1999,1.638647,2.338647,0.938647
2000,1.467157,2.167157,0.767157
2001,1.374500,2.074500,0.674500
2002,1.469753,2.169753,0.769753
2003,1.592123,2.292123,0.892123
2004,1.472110,2.172110,0.772110
2005,1.335127,2.035127,0.635127
2006,1.428687,2.128687,0.728687
2007,1.243460,1.943460,0.543460
2008,1.293883,1.993883,0.593883
2009,1.429080,2.129080,0.729080
2010,1.413077,2.113077,0.713077
2011,1.424127,2.124127,0.724127
2012,1.458840,2.158840,0.758840
2013,1.326087,2.026087,0.626087
2014,1.423113,2.123113,0.723113
2015,1.536643,2.236643,0.836643
2016,1.255183,1.955183,0.555183
2017,1.245903,1.945903,0.545903
2018,1.169527,1.869527,0.469527
2019,1.254780,1.954780,0.554780
2020,1.172267,1.872267,0.472267
2021,1.179470,1.879470,0.479470
2022,1.176297,1.876297,0.476297
