"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,6.880198,4.612454,0.913057,0.161075,0.819575,0.036292
2001,6.937031,4.626080,0.915399,0.191694,0.761717,0.045947
2002,7.246044,4.721883,0.955959,0.195137,0.720256,0.077426
2003,7.588741,4.810128,1.023368,0.181754,0.723483,0.087207
2004,8.076703,5.091184,1.104089,0.211599,1.043993,0.123727
2005,8.842008,5.177319,1.235723,0.175352,1.004233,0.138361
2006,9.179513,5.469158,1.291579,0.173313,1.153591,0.191841
2007,10.044981,5.842442,1.397169,0.174183,1.248132,0.240293
2008,10.874743,6.136988,1.439556,0.147852,1.165074,0.290295
2009,11.765757,6.456516,1.767891,0.162235,1.069097,0.329948
2010,12.054766,6.597250,2.122618,0.221320,1.086580,0.399358
2011,12.523911,6.912779,2.170292,0.307088,1.307979,0.488034
2012,13.636146,7.331103,2.005167,0.313904,1.142825,0.564098
2013,14.435024,7.384544,1.764695,0.313600,1.294952,0.629792
2014,15.843864,7.588126,1.746056,0.324614,1.355596,0.706633
2015,16.165693,8.200636,1.721046,0.356375,1.292134,0.784855
2016,16.515692,8.992905,1.828475,0.350475,1.237257,0.877659
2017,17.053764,9.258829,1.929595,0.343972,1.301275,1.051708
2018,17.933765,9.677006,2.087866,0.356915,1.331094,1.306785
2019,17.960484,9.992447,2.132994,0.411257,1.537928,1.483917
2020,16.972818,9.072910,2.172964,0.404759,1.547760,1.584788
2021,19.295746,9.246965,2.235110,0.396993,1.510340,1.820759
2022,20.093143,10.049701,2.094622,0.416051,1.641786,2.149094
