"Year","Emissions","Intensity","Crisis1","Crisis2","Crisis3","Crisis4","Crisis5","Crisis6"
1959,2.416665,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1960,2.561796,166.984802,"NaN","NaN","NaN","NaN","NaN","NaN"
1961,2.569428,160.715445,"NaN","NaN","NaN","NaN","NaN","NaN"
1962,2.660086,158.180852,"NaN","NaN","NaN","NaN","NaN","NaN"
1963,2.801869,159.433261,"NaN","NaN","NaN","NaN","NaN","NaN"
1964,2.954044,156.741971,"NaN","NaN","NaN","NaN","NaN","NaN"
1965,3.086706,155.225813,"NaN","NaN","NaN","NaN","NaN","NaN"
1966,3.237366,154.487504,"NaN","NaN","NaN","NaN","NaN","NaN"
1967,3.339609,153.477756,"NaN","NaN","NaN","NaN","NaN","NaN"
1968,3.521926,152.556471,"NaN","NaN","NaN","NaN","NaN","NaN"
1969,3.755688,153.603278,3.792374,"NaN","NaN","NaN","NaN","NaN"
1970,4.066091,157.711446,"NaN","NaN","NaN","NaN","NaN","NaN"
1971,4.231110,156.788838,"NaN","NaN","NaN","NaN","NaN","NaN"
1972,4.427795,155.455352,"NaN","NaN","NaN","NaN","NaN","NaN"
1973,4.662527,153.058390,"NaN","NaN","NaN","NaN","NaN","NaN"
1974,4.642299,147.815402,"NaN","NaN","NaN","NaN","NaN","NaN"
1975,4.653379,146.080542,"NaN",4.674973,"NaN","NaN","NaN","NaN"
1976,4.908637,145.758940,"NaN","NaN","NaN","NaN","NaN","NaN"
1977,5.047667,143.666652,"NaN","NaN","NaN","NaN","NaN","NaN"
1978,5.203044,142.431199,5.750219,"NaN","NaN","NaN","NaN","NaN"
1979,5.350164,140.843012,"NaN","NaN","NaN","NaN","NaN","NaN"
1980,5.317260,137.211017,"NaN","NaN","NaN","NaN","NaN","NaN"
1981,5.190215,131.408382,"NaN","NaN","NaN","NaN","NaN","NaN"
1982,5.148846,129.445468,"NaN","NaN","NaN","NaN","NaN","NaN"
1983,5.181742,127.063368,"NaN","NaN","NaN","NaN","NaN","NaN"
1984,5.360734,126.362679,"NaN",6.194154,"NaN","NaN","NaN","NaN"
1985,5.541793,126.569357,"NaN","NaN",5.494528,"NaN","NaN","NaN"
1986,5.624321,124.125325,"NaN","NaN","NaN","NaN","NaN","NaN"
1987,5.798522,123.649320,"NaN","NaN","NaN","NaN","NaN","NaN"
1988,6.025487,123.260010,"NaN","NaN","NaN","NaN","NaN","NaN"
1989,6.107797,120.693444,"NaN","NaN","NaN","NaN","NaN","NaN"
1990,6.209798,119.882768,"NaN","NaN","NaN","NaN","NaN","NaN"
1991,6.339922,121.031129,"NaN","NaN","NaN","NaN","NaN","NaN"
1992,6.159170,115.717846,"NaN","NaN","NaN","NaN","NaN","NaN"
1993,6.222257,115.035465,"NaN","NaN","NaN",6.176778,"NaN","NaN"
1994,6.286784,113.061245,"NaN","NaN",6.874384,"NaN","NaN","NaN"
1995,6.420440,111.992021,"NaN","NaN","NaN","NaN","NaN","NaN"
1996,6.618494,111.308778,"NaN","NaN","NaN","NaN","NaN","NaN"
1997,6.658283,107.773552,"NaN","NaN","NaN","NaN","NaN","NaN"
1998,6.640542,104.884280,"NaN","NaN","NaN","NaN","NaN","NaN"
1999,6.777700,103.500290,"NaN","NaN","NaN","NaN","NaN","NaN"
2000,6.959958,101.512640,"NaN","NaN","NaN","NaN","NaN","NaN"
2001,7.007350,99.888314,"NaN","NaN","NaN","NaN","NaN","NaN"
2002,7.163834,99.513385,"NaN","NaN","NaN",7.260165,"NaN","NaN"
2003,7.546029,101.160800,"NaN","NaN","NaN","NaN","NaN","NaN"
2004,7.811188,99.621768,"NaN","NaN","NaN","NaN",7.789706,"NaN"
2005,8.076447,98.525275,"NaN","NaN","NaN","NaN","NaN","NaN"
2006,8.353102,96.920589,"NaN","NaN","NaN","NaN","NaN","NaN"
2007,8.597089,94.892185,"NaN","NaN","NaN","NaN","NaN","NaN"
2008,8.745061,93.970652,"NaN","NaN","NaN","NaN","NaN","NaN"
2009,8.595324,93.006051,"NaN","NaN","NaN","NaN","NaN","NaN"
2010,9.090155,93.656107,"NaN","NaN","NaN","NaN","NaN","NaN"
2011,9.398600,93.251978,"NaN","NaN","NaN","NaN","NaN","NaN"
2012,9.534785,91.785403,"NaN","NaN","NaN","NaN","NaN","NaN"
2013,9.615848,89.650038,"NaN","NaN","NaN","NaN",9.939254,"NaN"
2014,9.679638,87.340074,"NaN","NaN","NaN","NaN","NaN","NaN"
2015,9.678825,84.548244,"NaN","NaN","NaN","NaN","NaN",9.622223
2016,9.677955,81.901229,"NaN","NaN","NaN","NaN","NaN","NaN"
2017,9.832274,80.209856,"NaN","NaN","NaN","NaN","NaN","NaN"
2018,10.034647,79.115767,"NaN","NaN","NaN","NaN","NaN","NaN"
2019,10.109199,77.516331,"NaN","NaN","NaN","NaN","NaN","NaN"
2020,9.554514,75.704538,"NaN","NaN","NaN","NaN","NaN","NaN"
2021,10.048183,75.154757,"NaN","NaN","NaN","NaN","NaN","NaN"
2022,10.139133,73.303818,"NaN","NaN","NaN","NaN","NaN","NaN"
2023,10.247588,71.829233,"NaN","NaN","NaN","NaN","NaN","NaN"
2024,"NaN","NaN","NaN","NaN","NaN","NaN","NaN",10.717918
