"Year","Historical","1.5C / 75 GtC","1.7C / 170 GtC","2.0C / 315 GtC"
1870,0.924312,,,
1871,0.961063,,,
1872,0.991060,,,
1873,1.020133,,,
1874,1.024456,,,
1875,1.045155,,,
1876,1.056053,,,
1877,1.075728,,,
1878,1.093332,,,
1879,1.115339,,,
1880,1.153809,,,
1881,1.152569,,,
1882,1.184165,,,
1883,1.219518,,,
1884,1.224817,,,
1885,1.225272,,,
1886,1.242699,,,
1887,1.272464,,,
1888,1.306583,,,
1889,1.304497,,,
1890,1.405372,,,
1891,1.451320,,,
1892,1.465819,,,
1893,1.482265,,,
1894,1.505033,,,
1895,1.538995,,,
1896,1.563870,,,
1897,1.587601,,,
1898,1.620137,,,
1899,1.679102,,,
1900,1.727492,,,
1901,1.756198,,,
1902,1.788754,,,
1903,1.842292,,,
1904,1.873098,,,
1905,1.917381,,,
1906,1.953794,,,
1907,2.061896,,,
1908,2.041946,,,
1909,2.084157,,,
1910,2.095195,,,
1911,2.098239,,,
1912,2.124935,,,
1913,2.195663,,,
1914,2.106094,,,
1915,2.081072,,,
1916,2.136665,,,
1917,2.174890,,,
1918,2.169402,,,
1919,2.031201,,,
1920,2.218842,,,
1921,2.134804,,,
1922,2.192788,,,
1923,2.310102,,,
1924,2.318281,,,
1925,2.347644,,,
1926,2.325146,,,
1927,2.418930,,,
1928,2.416440,,,
1929,2.499997,,,
1930,2.429735,,,
1931,2.332776,,,
1932,2.253937,,,
1933,2.305426,,,
1934,2.398370,,,
1935,2.448166,,,
1936,2.556256,,,
1937,2.630746,,,
1938,2.564981,,,
1939,2.632174,,,
1940,2.781384,,,
1941,2.858183,,,
1942,2.865017,,,
1943,2.884560,,,
1944,2.906034,,,
1945,2.661976,,,
1946,2.763272,,,
1947,2.886559,,,
1948,2.941693,,,
1949,2.860370,,,
1950,3.268712,,,
1951,3.417552,,,
1952,3.479224,,,
1953,3.559217,,,
1954,3.638625,,,
1955,3.876708,,,
1956,4.061825,,,
1957,4.181210,,,
1958,4.300686,,,
1959,4.525650,,,
1960,4.412517,,,
1961,4.342363,,,
1962,4.302163,,,
1963,4.389272,,,
1964,4.501078,,,
1965,4.488203,,,
1966,4.590780,,,
1967,4.729156,,,
1968,4.926759,,,
1969,5.071539,,,
1970,5.435755,,,
1971,5.518826,,,
1972,5.713835,,,
1973,5.911825,,,
1974,5.855049,,,
1975,5.878737,,,
1976,6.126069,,,
1977,6.262843,,,
1978,6.378815,,,
1979,6.462577,,,
1980,6.476721,,,
1981,6.416618,,,
1982,6.380386,,,
1983,6.543648,,,
1984,6.941557,,,
1985,6.995017,,,
1986,7.126671,,,
1987,7.249848,,,
1988,7.414733,,,
1989,7.481406,,,
1990,7.563852,,,
1991,7.630431,,,
1992,7.524395,,,
1993,7.557708,,,
1994,7.795445,,,
1995,7.888091,,,
1996,8.181101,,,
1997,8.623058,,,
