"Year","China","USA","India","EU27","Bunkers","RoW"
2000,0.995961,1.640321,0.266792,0.982945,0.214134,2.859806
2001,1.017607,1.612374,0.270461,0.998435,0.212628,2.895845
2002,1.119826,1.622901,0.278839,0.998609,0.217904,2.925756
2003,1.321266,1.640324,0.289072,1.021584,0.226778,3.047005
2004,1.423949,1.668301,0.307068,1.024562,0.246561,3.140746
2005,1.605388,1.673631,0.323601,1.019338,0.256420,3.198068
2006,1.772472,1.651934,0.352752,1.021978,0.270698,3.283267
2007,1.905998,1.673068,0.380051,1.012076,0.286316,3.339580
2008,2.047352,1.614388,0.406506,0.989181,0.289057,3.398577
2009,2.153682,1.495831,0.440015,0.908986,0.277016,3.319794
2010,2.352791,1.550141,0.457789,0.936530,0.294691,3.498214
2011,2.601640,1.513678,0.481635,0.909092,0.302479,3.590075
2012,2.669038,1.458539,0.525573,0.889309,0.299306,3.693021
2013,2.717352,1.495676,0.544514,0.867501,0.303680,3.687125
2014,2.728896,1.508920,0.586338,0.830126,0.305790,3.719569
2015,2.692945,1.467378,0.609776,0.844094,0.316618,3.748013
2016,2.665128,1.433661,0.642647,0.845523,0.320327,3.770669
2017,2.732301,1.422533,0.662284,0.851469,0.334646,3.829041
2018,2.825855,1.467739,0.707712,0.831397,0.344274,3.857668
2019,2.926049,1.436175,0.713124,0.792621,0.345030,3.896200
2020,2.978715,1.286743,0.660904,0.717787,0.234382,3.675982
2021,3.093950,1.373421,0.729864,0.765765,0.247820,3.837363
2022,3.110474,1.380269,0.772283,0.753796,0.286392,3.835920
2023,3.235520,1.338236,0.835903,0.697933,0.320556,3.819445
