"Year","Cumulative","Territorial","Consumption","Population","GDP-MER","GDP-PPP"
1,14.095623,32.555023,28.519782,18.172916,17.873307,18.249169
2,24.631325,14.446245,14.815460,4.284454,23.694722,15.695447
3,3.213426,8.082910,6.420673,17.808896,3.130469,6.811588
4,17.017941,7.889419,9.165342,5.679035,17.027625,14.859912
5,41.041684,37.026403,41.078743,54.054699,38.273877,44.383884
