"YYYYMM","Total: New","PetrolOnly: New","DieselOnly: New","BEV: New","Non-plugin hybrid: New","Plugin hybrid: New","Total: Used","PetrolOnly: Used","DieselOnly: Used","BEV: Used","Non-plugin hybrid: Used","Plugin hybrid: Used"
199001,5733,5394,339,0,0,0,165,136,29,0,0,0
199002,5246,4990,255,0,0,0,150,118,32,0,0,0
199003,6007,5646,360,1,0,0,150,128,22,0,0,0
199004,5302,4963,339,0,0,0,124,96,28,0,0,0
199005,6466,6039,427,0,0,0,187,148,39,0,0,0
199006,6334,5909,424,1,0,0,179,144,35,0,0,0
199007,5390,4988,402,0,0,0,193,160,33,0,0,0
199008,5193,4775,418,0,0,0,210,175,35,0,0,0
199009,5314,4911,403,0,0,0,181,149,32,0,0,0
199010,6287,5836,451,0,0,0,185,142,43,0,0,0
199011,5666,5217,449,0,0,0,134,103,31,0,0,0
199012,3614,3246,368,0,0,0,80,70,10,0,0,0
199101,4699,4230,469,0,0,0,153,110,43,0,0,0
199102,4376,3990,386,0,0,0,111,89,22,0,0,0
199103,4804,4372,432,0,0,0,118,93,25,0,0,0
199104,5444,5018,426,0,0,0,158,133,25,0,0,0
199105,5101,4495,606,0,0,0,186,154,32,0,0,0
199106,5191,4553,638,0,0,0,161,134,27,0,0,0
199107,4868,4277,591,0,0,0,205,171,34,0,0,0
199108,4165,3696,469,0,0,0,182,155,27,0,0,0
199109,4912,4355,557,0,0,0,208,185,23,0,0,0
199110,5955,5239,715,0,0,0,198,176,22,0,0,0
199111,4927,4257,669,0,0,0,160,145,15,0,0,0
199112,3335,2908,427,0,0,0,83,71,12,0,0,0
199201,5716,5110,605,1,0,0,146,124,22,0,0,0
199202,4857,4273,584,0,0,0,134,116,18,0,0,0
199203,5934,5131,801,2,0,0,160,127,33,0,0,0
199204,5338,4666,666,6,0,0,134,118,16,0,0,0
199205,5953,5239,712,2,0,0,159,135,24,0,0,0
199206,5914,5083,827,4,0,0,176,158,18,0,0,0
199207,5989,5090,892,7,0,0,233,192,41,0,0,0
199208,4441,3693,745,3,0,0,195,164,31,0,0,0
199209,5639,4689,945,5,0,0,250,220,30,0,0,0
199210,6224,5008,1211,5,0,0,207,193,14,0,0,0
199211,5322,4273,1043,6,0,0,185,171,14,0,0,0
199212,5096,3974,1121,1,0,0,116,106,10,0,0,0
199301,6315,4674,1640,1,0,0,227,173,54,0,0,0
199302,4818,3926,891,1,0,0,134,113,21,0,0,0
199303,5230,4344,884,2,0,0,159,133,26,0,0,0
199304,5028,4117,911,0,0,0,171,146,25,0,0,0
199305,5513,4621,891,1,0,0,222,205,17,0,0,0
199306,5445,4438,1007,0,0,0,207,192,15,0,0,0
199307,6737,5422,1313,2,0,0,305,278,27,0,0,0
199308,5358,4454,903,1,0,0,280,255,25,0,0,0
199309,6185,5031,1154,0,0,0,335,291,44,0,0,0
199310,6508,5221,1284,3,0,0,404,369,35,0,0,0
199311,6004,4878,1126,0,0,0,341,307,34,0,0,0
199312,6039,4977,1060,2,0,0,270,242,28,0,0,0
199401,7974,6470,1503,1,0,0,290,264,26,0,0,0
199402,6256,5290,953,13,0,0,303,272,31,0,0,0
199403,7503,6279,1222,2,0,0,408,387,21,0,0,0
199404,8239,7130,1109,0,0,0,397,366,30,0,0,0
199405,8447,7384,1063,0,0,0,518,483,35,0,0,0
199406,8757,7666,1091,0,0,0,651,629,22,0,0,0
199407,8618,7414,1204,0,0,0,780,735,45,0,0,0
199408,6858,5994,864,0,0,0,518,475,43,0,0,0
199409,7965,7005,960,0,0,0,682,632,50,0,0,0
199410,8181,7097,1083,1,0,0,619,575,44,0,0,0
199411,8677,7580,1094,3,0,0,649,602,47,0,0,0
199412,6542,5565,977,0,0,0,454,412,42,0,0,0
199501,8582,7429,1153,0,0,0,574,524,50,0,0,0
199502,7432,6509,923,0,0,0,553,510,43,0,0,0
199503,9842,8481,1361,0,0,0,682,615,67,0,0,0
199504,7727,6794,933,0,0,0,579,525,54,0,0,0
199505,10047,8920,1126,0,0,0,761,702,59,0,0,0
199506,9537,8395,1142,0,0,0,765,718,47,0,0,0
199507,9770,8772,993,5,0,0,873,799,74,0,0,0
199508,8189,7404,784,1,0,0,711,645,66,0,0,0
199509,8379,7535,844,0,0,0,667,596,71,0,0,0
199510,9363,8474,887,1,0,0,669,589,80,0,0,0
199511,8622,7600,1022,0,0,0,704,611,93,0,0,0
199512,4595,3782,813,0,0,0,447,384,63,0,0,0
199601,11197,9952,1243,1,0,0,856,754,102,0,0,0
199602,10730,9650,1080,0,0,0,1025,901,124,0,0,0
199603,13071,11753,1306,11,0,0,1433,1239,194,0,0,0
199604,11246,9974,1269,2,0,0,1532,1373,159,0,0,0
