"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric"
196001,13,218,0,0,0
196002,3,43,0,0,0
196003,2,68,0,0,0
196004,6,110,0,0,0
196005,4,175,0,0,0
196006,5,124,0,0,0
196007,6,99,0,0,0
196008,7,128,0,0,0
196009,2,74,0,0,0
196010,2,157,0,0,0
196011,5,123,0,0,0
196012,7,125,0,0,0
196101,17,415,0,0,0
196102,2,94,0,0,0
196103,10,255,0,0,0
196104,8,315,0,0,0
196105,3,320,0,0,0
196106,4,321,0,0,0
196107,3,261,0,0,0
196108,2,136,0,0,0
196109,5,143,0,0,0
196110,3,139,0,0,0
196111,3,122,0,0,0
196112,7,103,0,0,0
196201,21,582,0,0,0
196202,5,103,0,0,0
196203,6,228,0,0,0
196204,5,297,0,0,0
196205,5,376,0,0,0
196206,3,391,0,0,0
196207,6,278,0,0,0
196208,5,160,0,0,0
196209,6,173,0,0,0
196210,7,170,0,0,0
196211,4,136,0,0,0
196212,6,107,0,0,0
196301,37,796,0,0,0
196302,2,140,0,0,0
196303,9,258,0,0,0
196304,6,359,0,0,0
196305,13,552,0,0,0
196306,7,428,0,0,0
196307,8,361,0,0,0
196308,5,203,0,0,0
196309,6,209,0,0,0
196310,7,236,0,0,0
196311,7,196,0,0,0
196312,5,147,0,0,0
196401,27,1295,0,0,0
196402,5,218,0,0,0
196403,8,364,0,0,0
196404,4,613,0,0,0
196405,6,566,0,0,0
196406,14,549,0,0,0
196407,8,511,0,0,0
196408,5,239,0,0,0
196409,6,370,0,0,0
196410,5,395,0,0,0
196411,8,511,0,0,0
196412,8,202,0,0,0
196501,46,1802,0,0,0
196502,7,277,0,0,0
196503,3,522,0,0,0
196504,2,718,0,0,0
196505,6,755,0,0,0
196506,4,844,0,0,0
196507,7,646,0,0,0
196508,4,410,0,0,0
196509,11,472,0,0,0
196510,12,504,0,0,0
196511,8,395,0,0,0
196512,6,359,0,0,0
196601,56,2817,0,0,0
196602,7,417,0,0,0
196603,9,806,0,0,0
196604,9,842,0,0,0
196605,8,1104,0,0,0
196606,12,1061,0,0,0
196607,10,790,0,0,0
196608,6,610,0,0,0
196609,8,762,0,0,0
196610,10,693,0,0,0
196611,11,607,0,0,0
196612,13,450,0,0,0
196701,75,4410,0,0,0
196702,5,620,0,0,0
196703,12,867,0,0,0
196704,12,1452,0,0,0
196705,15,1477,0,0,0
196706,13,1533,0,0,0
196707,18,1120,0,0,0
196708,18,851,0,0,0
196709,12,1051,0,0,0
196710,18,1007,0,0,0
196711,10,1116,0,0,0
196712,13,823,0,0,0
196801,115,5759,0,0,0
196802,11,683,0,0,0
196803,14,1145,0,0,0
196804,24,1585,0,0,0
196805,31,2099,0,0,0
