"Year","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric"
1960,62,1444,0,0,0
1961,67,2624,0,0,0
1962,79,3001,0,0,0
1963,112,3885,0,0,0
1964,104,5833,0,0,0
1965,116,7704,0,0,0
1966,159,10959,0,0,0
1967,221,16327,0,0,0
1968,342,20578,0,0,0
1969,733,37222,0,0,0
1970,716,28517,0,0,0
1971,977,41668,0,0,0
1972,1031,45948,0,0,0
1973,1519,55099,0,0,0
1974,2029,61436,0,0,1
1975,2331,80028,0,0,0
1976,2097,109646,0,0,0
1977,2337,135158,0,0,0
1978,2555,75701,0,0,0
1979,4810,88642,0,0,0
1980,5372,91656,0,0,0
1981,8927,99072,0,0,0
1982,8439,111076,0,0,0
1983,7524,108039,0,0,0
1984,5478,108810,0,0,1
1985,7034,165584,0,0,1
1986,5700,169745,0,0,1
1987,3896,116847,0,0,0
1988,2932,69571,0,0,0
1989,2756,55898,0,0,0
1990,4635,61914,0,0,2
1991,6385,51390,0,0,0
1992,10152,56229,0,0,42
1993,13064,56103,0,0,13
1994,13123,80874,0,0,20
1995,11981,90095,0,0,7
1996,15918,120133,0,0,48
1997,14573,123309,0,0,25
1998,14062,112932,0,0,40
1999,14645,95557,0,0,84
2000,15427,92466,0,0,190
2001,18422,84697,0,0,141
2002,19566,75532,0,0,189
2003,26675,71159,0,0,31
2004,40059,85238,0,0,32
2005,52342,66957,0,0,5
2006,64440,56368,0,0,13
2007,104830,33013,1,0,5
2008,86524,30150,2,0,165
2009,75479,26619,2,0,110
2010,100156,31340,145,0,338
2011,109575,30087,1451,0,1879
2012,92999,40463,4519,313,3759
2013,78345,49910,9164,339,7580
2014,72243,43794,9957,1681,17549
2015,63782,43966,10714,7968,25413
2016,50454,44137,17446,20637,24012
2017,40064,38797,20514,29166,32786
2018,30265,32099,16649,26517,45981
2019,25858,21099,19194,19270,60142
2020,14854,8385,15898,28903,76684
2021,9457,3728,14331,38165,113629
2022,6910,2266,12886,16091,138172
2023,4569,810,8529,10173,104576
2024,4373,337,7719,3493,114382
2025,1024,284,1693,1801,70748
