"Year","Total","Energy industries","Manufacturing","Transport","Other sectors","Other","Fugitive: Solid fuels","Fugitive: Oil & Gas"
1990,553.985468,239.485847,73.090090,120.433020,115.629893,5.346617,,
1991,564.824048,236.780248,76.413174,119.722603,127.562540,4.345483,,
1992,549.651415,225.906634,74.309064,121.151440,124.147326,4.136951,,
1993,535.800555,210.019671,71.652351,122.219883,127.718393,4.190256,,
1994,525.539986,205.686388,70.759977,122.580704,122.506261,4.006656,,
1995,515.181524,203.593149,67.918598,121.594731,118.142530,3.932517,,
1996,534.041573,204.614516,67.288077,126.496730,131.791575,3.850676,,
1997,513.508588,193.747845,66.913567,127.106266,122.066883,3.674027,,
1998,520.935472,199.279480,67.576085,126.913516,123.935902,3.230488,,
1999,513.388668,189.923048,67.177885,127.565360,125.535987,3.186388,,
2000,524.003812,200.783745,68.971414,126.423031,124.874885,2.950737,,
2001,536.198201,211.802208,67.416177,126.377480,127.646545,2.955790,,
2002,520.629531,208.726739,61.295486,128.296561,119.219560,3.091184,,
2003,530.307476,216.436103,61.449873,129.137764,120.085303,3.198433,,
2004,530.594662,214.641905,59.491040,130.547008,122.826002,3.088707,,
2005,528.440374,214.957697,60.457899,131.661412,118.488132,2.875234,,
2006,528.497740,220.991096,57.623107,132.802760,113.572422,3.508355,,
2007,517.629013,215.888693,56.566930,132.868240,108.500662,3.804488,,
2008,505.563149,210.258597,51.181167,127.165855,113.657506,3.300024,,
2009,463.298987,187.014599,44.153737,122.889867,106.221691,3.019093,,
2010,482.232195,194.369046,46.278264,121.345993,117.305350,2.933541,,
2011,443.173803,180.096619,45.010483,119.316781,95.967975,2.781945,,
2012,461.635196,191.214941,42.549276,119.313802,106.006256,2.550921,,
2013,449.561854,179.048280,42.476466,118.478234,107.247015,2.311859,,
2014,409.070121,154.294832,40.557033,120.850632,91.328386,2.039237,,
2015,392.544657,134.630009,39.384645,121.304618,95.546591,1.678793,,
2016,372.731290,112.331396,38.269529,125.125712,95.441431,1.563222,,
2017,361.587061,102.012503,38.789551,125.856306,93.327879,1.600822,,
2018,355.592349,94.783989,38.440070,124.386704,96.347251,1.634335,,
2019,340.114618,86.988167,37.275272,120.992310,93.234290,1.624578,,
2020,304.994811,76.366006,34.682615,99.301161,93.281052,1.363977,,
2021,323.355720,79.780162,35.277856,108.202332,98.519584,1.575785,,
2022,308.974276,81.629046,33.001773,109.761531,83.074482,1.507444,,
2023,292.621091,70.204961,32.557247,108.545589,79.839471,1.473824,,
2024,287.748847,61.081500,32.495150,109.115598,83.908753,1.147845,,
