"Year","Electricity generation","Manufacturing industries and construction: Other","Road transportation","Residential: Stationary combustion","All other Manufacturing industries and construction","All others"
1990,0.598725,0.143388,0,2.363712,0.000491,0.286432
1991,0.660597,0.166543,0,2.347091,0.002769,0.294637
1992,0.873152,0.156689,0,2.543217,0.005073,0.294647
1993,1.153654,1.030426,0,2.549666,0.007356,0.285862
1994,1.517862,1.931880,0,2.546775,0.012612,0.302580
1995,1.609702,2.105410,0,2.546212,0.032333,0.308570
1996,1.745070,2.137670,0,2.571315,0.029876,0.308570
1997,2.076039,2.136835,0,2.553908,0.023938,0.308237
1998,2.717623,1.853475,0,2.561960,0.017362,0.304759
1999,3.374328,1.595311,0,2.530105,0.016237,0.311068
2000,3.881686,1.009935,0,2.542352,0.024810,0.327800
2001,4.387307,0.935958,0,2.530894,0.041052,0.332226
2002,4.544667,1.207205,0.006488,2.543382,0.236502,0.370022
2003,5.099005,1.481663,0.046455,2.569116,0.452874,0.382723
2004,5.842370,1.729213,0.050087,2.760592,0.628819,0.394681
2005,8.000957,1.605500,0.207920,2.979033,0.801084,0.404697
2006,7.923225,1.828394,0.547527,3.207290,0.924648,0.413352
2007,8.358844,1.327317,1.059647,2.792157,0.369508,0.372844
2008,9.377534,1.813807,2.427940,2.260783,0.410684,0.353309
2009,9.857317,1.673854,2.977671,2.359550,0.386797,0.353179
2010,10.536529,2.244051,3.460462,2.877224,0.634006,0.502336
2011,11.161966,2.443321,3.207971,2.682095,0.849482,0.456182
2012,12.187236,2.545801,2.744784,3.019058,0.750883,0.524158
2013,14.229152,2.959541,3.147941,3.466034,0.967252,0.502632
2014,16.981740,3.930103,3.537166,3.347279,1.483404,0.523100
2015,21.040227,4.638074,2.842275,3.814103,2.071633,0.801347
2016,21.836650,4.983224,2.906322,4.210264,2.483228,0.958986
2017,21.981801,6.391479,2.882295,4.494829,2.553528,1.354610
2018,24.549075,7.622846,3.923259,5.008120,2.901284,1.467738
2019,26.213567,6.890737,5.010258,5.088363,3.327531,1.736816
2020,26.587858,7.886991,4.835210,5.414739,3.246910,1.848332
2021,27.861539,9.024856,4.345627,5.817520,2.897138,1.970142
2022,24.687195,8.938719,5.823060,5.721264,3.316967,1.929903
2023,23.733941,7.954263,6.531929,6.120158,3.362703,1.978360
