"Year","United Kingdom","World"
1950,10.359468,2.372741
1951,10.627964,2.509281
1952,10.753988,2.496828
1953,10.594472,2.519009
1954,10.538782,2.522133
1955,10.373901,2.710743
1956,10.349040,2.829705
1957,10.372130,2.864250
1958,9.956438,2.886446
1959,9.457221,2.981084
1960,8.832607,3.109071
1961,8.637439,3.068418
1962,8.899249,3.117449
1963,8.771544,3.212604
1964,8.617491,3.313059
1965,8.292408,3.389338
1966,7.674148,3.482441
1967,7.524068,3.521091
1968,7.131584,3.638560
1969,6.514553,3.800910
1970,6.526110,4.031813
1971,6.866225,4.112250
1972,5.974264,4.219880
1973,6.490516,4.358162
1974,5.728719,4.257539
1975,6.697141,4.190445
1976,7.067372,4.342568
1977,8.372305,4.387958
1978,9.145155,4.445411
1979,10.303982,4.491730
1980,10.674228,4.385349
1981,11.125049,4.204303
1982,11.687306,4.095304
1983,12.070147,4.047822
1984,9.692943,4.114002
1985,11.682767,4.177916
1986,12.332480,4.164586
1987,12.032444,4.215461
1988,11.514915,4.303169
1989,10.170525,4.285587
1990,9.995064,4.275440
1991,10.213887,4.288762
1992,9.956107,4.101485
1993,9.877875,4.079975
1994,10.485881,4.061836
1995,11.045681,4.097368
1996,11.379495,4.164388
1997,11.261379,4.131378
1998,11.305519,4.059213
1999,11.629042,4.096031
2000,11.151556,4.148800
2001,10.588656,4.125716
2002,10.353083,4.162733
2003,9.736834,4.327484
2004,8.767949,4.421495
2005,7.757346,4.515645
2006,6.968076,4.611727
2007,6.605743,4.688505
2008,6.284992,4.708763
2009,5.688318,4.572416
2010,5.324940,4.774950
2011,4.428088,4.878259
2012,3.795922,4.887112
2013,3.377247,4.868795
2014,3.296184,4.830362
2015,3.494994,4.767311
2016,3.455602,4.713752
2017,3.359028,4.735624
2018,3.471191,4.780249
2019,3.449361,4.778430
2020,3.289661,4.479880
2021,2.716002,4.676995
2022,2.717746,4.676281
2023,2.417499,4.697341
