"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,568.915653,568.749274,573.371854,574.168666,574.176194,574.111589,574.720364,574.651179,571.430568,574.396668,573.440354,574.579923,568.352871,568.406744,567.583579,574.111569,574.309698,573.818832,573.744988,556.856287,557.715503,557.707143,557.802469
1991,574.869230,574.723809,582.151498,583.089308,583.096486,583.026127,584.226188,584.187314,580.724456,583.726955,582.723840,583.666681,578.736375,578.646099,577.768722,584.266505,584.462623,584.061760,583.991710,566.753642,567.624835,567.616422,567.753537
1992,561.061276,560.925588,567.636786,567.391991,567.396991,567.325229,568.408754,568.383070,565.007128,568.069471,566.997449,567.888311,563.337623,563.337270,562.512516,568.785289,569.018076,568.659510,568.579563,552.088128,552.920413,552.912225,553.035761
1993,547.185855,547.044374,554.162526,553.787745,553.746464,553.645298,554.741802,554.588734,551.266029,554.549767,553.423032,554.248776,549.798493,549.737912,548.865516,555.374749,555.645899,555.097570,555.009952,538.723351,539.546647,539.538094,539.596553
1994,542.926198,542.729932,545.873202,545.074081,545.097008,544.956414,547.770359,547.632792,544.579830,547.539891,546.163468,546.999297,542.526742,542.348354,541.837993,549.173141,549.432120,549.019037,548.809999,530.723113,531.410766,531.401877,531.529999
1995,534.478193,534.234229,536.698431,535.066381,535.023896,534.809987,538.283676,538.149359,535.520739,538.917447,537.575666,538.396876,533.409608,533.255592,532.242734,539.954288,540.423967,540.220000,540.291561,522.306813,522.914220,522.905225,522.995191
1996,553.602109,553.330078,558.034527,556.319898,556.272927,555.682453,560.136717,560.032960,557.157982,560.429241,558.764856,559.123158,553.985405,553.874368,553.227790,560.625305,561.094507,560.807486,560.936426,541.184776,541.713807,541.705698,541.846703
1997,530.337273,530.029643,534.510508,534.020921,533.975085,533.352523,537.026650,536.900571,533.661094,536.720389,534.961575,535.259877,530.953197,530.852860,530.163002,537.229985,537.791282,537.700138,537.926434,519.513316,519.972882,519.964441,520.128085
1998,533.370452,533.018827,537.248382,536.357285,536.320238,535.738245,539.767469,539.638213,537.262116,540.645626,539.792216,540.016336,535.272704,535.282593,535.199691,542.409821,543.146585,543.136602,543.375753,527.310377,527.796826,527.759790,527.721502
1999,524.195021,523.930819,527.378872,527.476518,527.429195,526.696557,529.688522,529.595883,528.379910,531.717485,531.284501,532.876096,528.087608,528.119665,528.117477,535.398993,536.175132,536.231382,536.450076,519.305247,519.744625,519.729961,519.765036
2000,530.022798,529.270461,532.116101,533.634688,536.074945,535.547813,538.380649,538.296934,536.578712,540.503916,540.241096,541.667245,536.940740,536.894273,536.811177,543.427044,544.400670,544.366667,544.535839,529.799075,530.267779,530.256593,530.312425
2001,544.507395,543.678933,550.343355,550.149974,548.201098,547.744142,551.213104,551.162051,550.252976,553.806259,552.934160,553.932754,547.954988,547.877918,547.826866,554.098019,555.033537,554.987068,555.141570,541.936894,542.554454,542.530677,542.632523
2002,,526.680848,534.135123,534.731979,532.984711,532.253118,534.750139,534.690928,534.200047,537.542471,537.332919,537.906400,531.910624,531.894086,532.283888,538.653448,539.571078,539.542977,539.664295,527.052912,527.861365,527.854920,527.975593
2003,,,545.574575,545.526405,544.160956,543.525515,545.343880,545.652090,543.554394,547.199847,547.099116,547.928735,541.755520,541.771162,542.164460,548.200406,549.034723,549.033111,549.064879,534.662021,535.489722,535.537497,535.672175
2004,,,,548.446573,544.021844,544.218704,545.458709,545.601068,543.424976,548.818421,548.445850,549.183796,541.720574,541.763857,542.552738,548.438158,549.167491,549.087064,549.111122,534.917149,535.874703,535.876143,536.073900
2005,,,,,543.633540,544.390102,542.669535,543.216785,540.986340,545.426957,544.358796,546.029045,540.038143,540.324508,540.846089,546.540625,547.190963,547.113918,547.178514,532.875527,533.765635,533.675769,533.793442
2006,,,,,,543.427644,541.053618,541.254574,538.468779,544.679931,543.991106,546.616966,539.673149,539.845097,540.166419,545.370623,545.907386,545.850191,545.877036,530.259546,531.156248,531.089897,531.358087
2007,,,,,,,531.505946,532.388691,529.272787,536.444478,534.223043,538.612258,529.486331,529.656270,530.009982,535.364214,536.036018,535.965610,535.928606,520.668257,521.469402,521.423376,521.635612
2008,,,,,,,,522.179124,517.686869,524.659437,523.025834,522.133294,517.891993,518.119241,518.536817,522.801619,523.473245,523.414610,523.327814,508.893199,509.703924,509.732160,510.011659
