"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
1990,585.015838,584.029400,588.771026,590.319316,590.340702,590.631250,591.264784,591.142014,587.988301,591.158760,590.475075,591.499318,596.435232,596.398473,595.297381,601.342996,601.480559,601.187187,601.051581,602.652078,603.666159,603.662861,603.552040,599.546316
1991,588.586704,587.621227,595.446415,597.252079,597.270751,597.442129,598.666354,598.581554,595.166701,598.387365,597.512624,598.323317,604.888144,604.652897,603.513427,609.198025,609.307735,609.266002,609.117473,610.098954,611.180125,611.170454,611.148832,607.386018
1992,574.138237,573.182490,580.057461,580.797701,580.813117,580.936214,582.043452,581.902172,578.718683,582.011643,581.074163,581.828059,589.371217,589.306018,588.190303,593.571240,593.748103,593.745974,593.537154,594.499057,595.547682,595.536720,595.460413,591.674124
1993,560.326379,559.364840,566.396324,567.093767,567.061400,567.161068,568.281287,568.077779,564.890291,568.407418,567.413772,568.100277,574.845100,574.764753,573.587604,579.459127,579.700111,579.506686,579.299794,580.276823,581.571285,581.505920,581.315396,577.257929
1994,557.053986,556.037661,559.111154,559.439780,559.472614,559.606328,562.442920,562.240937,559.316675,562.493897,561.358279,562.061108,569.588954,569.458365,568.639372,575.638947,575.832963,575.774600,575.307539,574.683241,575.574303,575.528198,575.454103,570.299154
1995,548.616871,547.552848,550.319169,549.820348,549.787725,549.856878,553.350897,553.150966,550.648235,554.170372,553.007767,553.701859,561.249666,561.202954,559.783110,566.843952,567.353523,567.507648,567.261642,566.852196,567.718832,567.695728,567.614613,561.941692
1996,568.532818,567.440729,572.219586,571.660827,571.623112,571.327428,575.802935,575.623927,572.853844,576.234728,574.832218,575.026952,582.681909,582.752784,581.701350,588.472632,589.063321,589.137825,588.878287,587.450906,588.352233,588.361673,588.305243,583.103406
1997,544.270851,543.109513,548.444941,549.072110,549.035398,548.733258,552.430759,552.209942,549.087081,552.011296,550.382911,550.525206,557.537069,557.608779,556.475790,562.412223,562.980061,563.241836,563.012009,563.386577,564.846401,564.927334,564.856548,559.612549
1998,547.078715,545.881532,551.177776,551.368204,551.334774,551.084333,555.160306,554.962461,552.660328,556.216664,555.432559,555.499533,561.143693,561.253723,560.479671,567.403382,568.148007,568.512202,568.297769,569.237783,570.182520,570.226870,569.963941,565.064424
1999,538.706018,537.601028,540.988764,542.289544,542.252287,541.824530,544.839699,544.776130,543.606439,547.088119,546.527860,548.047972,553.697042,553.827549,553.175901,560.412828,561.198179,561.651094,561.807162,562.344301,562.664604,562.709986,562.516681,556.735761
2000,544.358862,542.648068,545.303770,548.045413,550.494286,550.254834,553.105726,553.046649,551.368157,555.442499,555.324362,556.667161,561.170428,561.280866,560.581684,566.932534,567.901855,568.220055,568.299684,569.744209,570.546475,570.519299,570.307474,565.092401
2001,557.628288,555.999987,562.268649,563.370858,561.465225,561.261530,564.732463,564.705440,563.846634,567.460027,567.006043,567.904299,570.697732,570.697030,569.954501,575.793896,576.720674,576.926995,577.043474,578.698598,579.678142,579.604937,579.484479,574.327477
2002,,537.380169,545.294464,547.340552,545.610532,545.134979,547.665837,547.623002,547.201705,550.833112,551.114842,551.553093,554.113137,554.227636,553.849200,559.902478,560.803387,561.047845,560.811368,561.014630,562.251683,562.226385,562.124161,556.043927
2003,,,557.462244,558.938379,557.574527,557.184788,559.065365,559.408925,557.308634,561.176009,561.562351,562.296790,565.350560,565.475520,565.146383,571.461421,572.282260,572.532251,572.230702,572.373661,573.045453,573.068272,573.019382,568.487895
2004,,,,562.359085,557.840551,558.293083,559.599899,559.811645,557.611039,563.061163,563.306754,563.962123,566.483357,566.598164,566.740010,573.082751,573.786442,573.994491,573.679402,574.200863,575.203663,575.184625,575.214313,570.758974
2005,,,,,557.545906,558.618073,557.008973,557.631609,555.313156,559.954812,559.500283,561.101508,563.377826,563.783538,563.637433,569.874270,570.496677,570.724265,570.755837,571.126890,572.057991,571.973997,571.974831,568.179400
2006,,,,,,557.855398,554.871956,555.082265,552.193576,558.545585,558.576326,561.128449,561.867058,562.083095,561.885713,567.556978,568.098120,568.390055,568.431437,568.698066,569.662236,569.571158,569.763509,567.920028
2007,,,,,,,546.425092,547.479844,544.146070,551.482749,549.931292,554.251606,553.488647,553.719939,553.544555,559.237939,559.915612,560.205596,560.189705,560.512739,561.461573,561.356483,561.482222,558.811009
2008,,,,,,,,536.704653,531.827837,538.715416,537.720278,536.733745,539.601356,539.916163,539.840652,544.656279,545.411801,545.682468,545.364518,545.791866,546.903005,546.975899,547.162570,543.693227
2009,,,,,,,,,480.553269,487.888497,487.198466,487.442442,488.885576,489.012500,488.856025,494.356358,494.890208,495.119486,494.717774,494.923488,495.958070,495.985962,496.145717,492.961464
2010,,,,,,,,,,505.727865,504.228195,504.997522,507.591932,507.595712,507.469957,511.979382,512.672498,512.864792,512.470561,512.736335,513.843487,513.873321,514.801119,511.642413
2011,,,,,,,,,,,464.653693,464.036071,464.942446,464.885749,464.758586,469.523408,470.413808,470.608131,470.256489,470.509119,471.410359,471.402354,473.295876,470.772179
2012,,,,,,,,,,,,483.423635,483.707612,484.388090,484.226390,487.324894,488.341120,488.503548,488.222992,488.176363,489.083110,489.094480,491.200493,489.304626
2013,,,,,,,,,,,,,475.179692,475.832051,473.699574,477.356475,478.459350,478.608945,478.093900,478.310995,479.088607,479.097577,483.099300,481.878528
2014,,,,,,,,,,,,,,434.794557,433.370548,438.268664,439.580090,439.763277,439.245835,439.505394,440.062648,440.088272,442.497203,441.700429
2015,,,,,,,,,,,,,,,415.721496,422.193840,423.122052,423.199617,423.048801,423.162942,423.772573,423.780885,423.607640,423.342903
2016,,,,,,,,,,,,,,,,398.033276,400.554098,399.824299,400.052087,400.145839,400.645323,399.133946,399.620137,398.445924
2017,,,,,,,,,,,,,,,,,388.101096,388.803410,388.282694,388.085916,388.415420,387.451764,387.559241,386.843496
2018,,,,,,,,,,,,,,,,,,380.849883,382.603640,380.444859,380.582437,381.411203,381.265829,379.745246
2019,,,,,,,,,,,,,,,,,,,369.729951,365.468409,366.942115,367.820141,365.740492,364.245626
