"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,8.791208,9.050038,2.645241,2.915429,2.881559,2.899363,2.929055,2.929055,3.102325,3.082131,3.151836,1.015449,2.879063,-0.852670,3.222580,-4.395289,-2.012196,-2.336067,10.365436,5.980655,3.671104,3.303004,3.173158
1991,8.868929,9.127759,2.589573,2.782027,2.754546,2.812196,2.840890,2.840890,3.070185,3.054442,3.254493,0.929581,2.320419,-1.167635,2.119498,-4.695906,-2.563627,-2.884251,9.610551,5.485768,3.183095,2.812919,2.681001
1992,8.327210,8.586040,2.075878,2.289511,2.250843,2.179774,2.284787,2.284787,2.495992,2.535819,2.485449,0.435433,1.827985,-1.474467,1.138231,-5.927561,-3.327774,-3.636835,8.608273,4.671476,2.374428,2.001869,1.877175
1993,6.610401,6.869231,0.898712,1.082190,1.068240,1.066106,1.123701,1.123701,1.447223,1.419073,1.454435,-0.378181,1.802545,-1.357159,0.828499,-6.784529,-3.749009,-4.123383,7.901329,4.105524,1.813774,1.438066,1.318635
1994,5.384129,5.642959,0.684939,0.889216,0.862888,0.851007,0.916583,0.916583,1.265723,1.246676,1.255796,-0.322981,1.783039,-1.386263,0.548092,-6.984836,-3.888021,-4.393042,7.447591,3.702891,1.427859,1.060321,0.901366
1995,4.687375,4.946205,0.787008,1.033528,0.991775,1.170050,1.242370,1.242370,1.623592,1.640148,2.377883,0.590047,2.173757,-1.270400,0.619996,-7.203296,-3.932915,-4.469865,7.186488,3.719759,1.447545,1.081529,0.940835
1996,4.968991,5.227821,0.615505,0.901905,0.850220,0.913502,1.000435,1.000435,1.396209,1.366023,1.698694,-0.132607,1.670652,-2.265039,-0.319449,-7.800690,-4.755971,-5.233954,6.236099,2.743784,0.477186,0.111279,-0.008055
1997,4.772926,5.031756,0.211197,0.552151,0.501596,0.581090,0.693155,0.693155,1.099450,1.098737,1.548392,-0.503716,1.410071,-2.551185,-0.719875,-8.870590,-5.343485,-5.763424,5.539517,2.201075,-0.062960,-0.432824,-0.545087
1998,5.026911,5.285738,-0.385417,-0.000063,-0.053091,-0.014200,0.077016,0.077016,0.533545,0.427731,0.648887,-1.535412,0.915952,-3.093585,-1.557626,-9.226161,-6.030199,-6.396203,4.747726,1.444611,-0.815371,-1.187142,-1.287140
1999,4.855893,5.018710,-0.550137,-0.234349,-0.267482,-0.293815,-0.201674,-0.201674,0.283771,0.246301,0.123528,-2.027704,0.809738,-3.606564,-1.021125,-9.349024,-5.606944,-5.937710,5.051348,1.607561,-0.647701,-1.018735,-1.126685
2000,3.379805,3.638956,-0.787078,-0.440306,-0.449013,-0.432350,-0.339443,-0.339398,-0.385156,-0.425000,-0.442053,-2.984535,-0.211013,-3.979936,-1.791914,-9.990819,-5.991554,-6.204087,4.640103,1.351787,-0.881957,-1.265634,-1.381015
2001,3.220304,3.474294,-0.986228,-0.596489,-0.602536,-0.569479,-0.460482,-0.460436,-0.886950,-0.905341,-0.912830,-3.977949,-1.082335,-4.442932,-2.697201,-10.994878,-6.666650,-6.830365,3.861260,0.746837,-1.495097,-1.872990,-1.989097
2002,,1.903143,-1.488609,-1.119831,-1.124425,-1.128230,-0.977629,-0.977580,-1.757388,-1.711697,-1.797974,-4.891570,-2.106902,-5.106358,-3.788192,-11.417994,-7.538442,-7.693221,2.859936,-0.049084,-2.299877,-2.673026,-2.792181
2003,,,-1.535720,-1.179628,-1.180799,-1.147375,-1.029640,-1.029545,-2.101458,-2.044212,-2.126845,-5.134516,-2.448482,-5.320321,-3.973350,-12.296916,-7.861843,-7.970385,2.453360,-0.223253,-2.478070,-2.852975,-2.984803
2004,,,,-1.941558,-1.934522,-1.904092,-1.771157,-1.770925,-3.167232,-3.101535,-3.157235,-6.020829,-3.282017,-6.055540,-4.682214,-13.263714,-8.552209,-8.676656,1.636451,-0.999050,-3.255162,-3.630317,-3.761795
2005,,,,,-2.056119,-2.054033,-1.933607,-1.937369,-3.672055,-3.657761,-3.358761,-6.509389,-3.828157,-6.456513,-5.198770,-13.227355,-8.953221,-9.025485,1.184790,-1.355730,-3.616908,-3.991000,-4.122183
2006,,,,,,-1.994752,-1.816467,-1.821409,-3.868155,-3.811368,-3.725990,-7.024263,-4.374856,-7.080883,-6.008791,-13.756167,-9.452879,-9.551740,0.565665,-1.719139,-3.992196,-4.371314,-4.499636
2007,,,,,,,-1.815002,-1.886454,-4.222660,-4.186534,-4.074616,-7.362997,-4.784651,-7.745176,-6.522160,-14.872130,-10.033693,-9.753521,0.279767,-2.059928,-4.337020,-4.720308,-4.929120
2008,,,,,,,,-1.973774,-4.647729,-4.576172,-4.491917,-7.647006,-4.919974,-8.128004,-7.381327,-14.215790,-10.471302,-10.374611,-0.413413,-2.852588,-5.130821,-5.518744,-5.638789
2009,,,,,,,,,-4.746189,-4.871698,-4.501210,-7.711206,-4.879548,-8.225946,-7.389925,-14.864762,-10.426800,-10.373274,-0.580388,-2.898306,-5.183412,-5.584043,-5.712405
2010,,,,,,,,,,-4.499909,-4.309005,-7.989217,-5.067262,-8.614350,-7.529768,-16.053584,-10.714512,-10.668724,-0.797949,-2.963076,-5.254814,-5.665395,-5.817515
2011,,,,,,,,,,,-3.930977,-8.201938,-5.610066,-9.114608,-7.664380,-16.563031,-11.156966,-11.169360,-1.299151,-3.569747,-5.869813,-6.288454,-6.483195
2012,,,,,,,,,,,,-7.711953,-5.774308,-9.188893,-6.926842,-14.217751,-10.610845,-10.978694,-1.207589,-3.338977,-5.655687,-6.085185,-6.337424
2013,,,,,,,,,,,,,-5.987921,-9.383286,-8.159539,-15.086635,-10.863782,-11.083063,-1.096104,-3.392434,-5.711750,-6.187856,-6.444218
2014,,,,,,,,,,,,,,-9.724650,-9.017772,-15.930644,-11.075793,-11.105938,-1.481842,-3.725486,-6.053721,-6.549008,-6.832496
2015,,,,,,,,,,,,,,,-8.913295,-16.562352,-11.177865,-11.322818,-1.121416,-3.439939,-5.873051,-6.387199,-6.975667
2016,,,,,,,,,,,,,,,,-16.020096,-11.266186,-11.233308,-1.481712,-3.333793,-5.811492,-6.332670,-6.643400
2017,,,,,,,,,,,,,,,,,-11.329824,-11.435163,-1.773611,-3.518492,-6.055538,-6.578543,-6.909188
2018,,,,,,,,,,,,,,,,,,-11.600753,-1.286377,-2.911452,-5.500418,-6.077582,-6.313116
2019,,,,,,,,,,,,,,,,,,,-0.937582,-2.589456,-5.227680,-5.726310,-6.468465
2020,,,,,,,,,,,,,,,,,,,,-2.894432,-5.733976,-6.219524,-6.580921
2021,,,,,,,,,,,,,,,,,,,,,-5.818627,-6.450953,-6.750181
2022,,,,,,,,,,,,,,,,,,,,,,-6.225144,-6.460430
2023,,,,,,,,,,,,,,,,,,,,,,,-5.935225
