"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-43.359797,30.255648,-2.469618,-0.687433,-0.172322,2.099351
1991,-44.218895,30.717344,-2.476801,-0.654772,-0.326683,2.049242
1992,-45.052967,31.429941,-2.552203,-0.675576,-0.482813,1.988789
1993,-45.889078,32.191608,-2.644367,-0.692505,-0.625907,1.920648
1994,-46.710738,33.538537,-2.886072,-0.775489,-0.761135,1.866069
1995,-47.491255,34.303209,-2.959665,-0.757144,-0.880369,1.808170
1996,-48.267678,34.846145,-2.970026,-0.715377,-0.979822,1.748561
1997,-49.042879,35.764238,-3.088186,-0.734980,-1.082998,1.687601
1998,-49.807859,36.267899,-3.088797,-0.700345,-1.164623,1.621581
1999,-50.582986,37.336777,-3.247883,-0.743433,-1.256852,1.556108
2000,-51.322032,38.029021,-3.302776,-0.728928,-1.333235,1.481565
2001,-52.033978,38.205777,-3.205088,-0.653535,-1.420818,1.402549
2002,-52.724343,38.779292,-3.216035,-0.649212,-1.514685,1.316957
2003,-53.397407,39.604515,-3.307515,-0.683344,-1.625705,1.231848
2004,-54.045879,39.958580,-3.259289,-0.654651,-1.730398,1.137075
2005,-54.697371,40.477675,-3.255147,-0.643115,-1.846908,1.045049
2006,-55.357263,41.066334,-3.273544,-0.646312,-1.959804,0.954552
2007,-55.978740,41.996761,-3.389846,-0.693201,-2.098908,0.865937
2008,-56.574957,41.968114,-3.226721,-0.597932,-2.217759,0.780021
2009,-57.205615,42.891483,-3.344361,-0.650410,-2.358741,0.694506
2010,-57.825983,43.989101,-3.508470,-0.719560,-2.496036,0.612085
2011,-58.420153,45.145234,-3.688129,-0.769585,-2.620690,0.533220
2012,-58.887604,46.908819,-3.986652,-0.855820,-2.755472,0.424949
2013,-59.274665,46.998465,-3.879015,-0.710987,-2.849900,0.349278
2014,-59.666386,47.579937,-3.887406,-0.676753,-2.962157,0.278840
2015,-60.018150,48.446406,-3.942517,-0.689518,-3.102643,0.206668
2016,-60.317277,48.372083,-3.755621,-0.576092,-3.215828,0.153934
2017,-60.614925,48.676328,-3.678434,-0.544783,-3.324731,0.105814
2018,-60.875373,49.018618,-3.625433,-0.529242,-3.425232,0.061021
2019,-61.132292,49.533910,-3.611355,-0.536670,-3.523972,0.022485
2020,-61.364355,50.037201,-3.602533,-0.540869,-3.620945,-0.015660
2021,-61.574575,50.651746,-3.629528,-0.555195,-3.719630,-0.052055
2022,-61.755922,51.279887,-3.657746,-0.565224,-3.815153,-0.084017
2023,-61.890419,51.956503,-3.710089,-0.577094,-3.892759,-0.111399
