"Year","United Kingdom","World"
1950,10.004824,2.372741
1951,10.846074,2.509281
1952,10.472577,2.496828
1953,10.649033,2.519009
1954,10.849723,2.522133
1955,11.270069,2.710743
1956,11.168914,2.829705
1957,11.042718,2.864250
1958,10.706450,2.886446
1959,10.463034,2.981084
1960,11.115083,3.109071
1961,11.135090,3.068418
1962,11.148759,3.117449
1963,11.276442,3.212604
1964,11.285723,3.313059
1965,11.471817,3.389338
1966,11.328244,3.482441
1967,10.788926,3.521091
1968,10.993232,3.638560
1969,11.338446,3.800910
1970,11.726423,4.031813
1971,11.818837,4.112250
1972,11.560067,4.219880
1973,11.743220,4.358162
1974,10.975319,4.257539
1975,10.721182,4.190445
1976,10.637960,4.342568
1977,10.745194,4.387958
1978,10.752227,4.445411
1979,11.454919,4.491730
1980,10.280014,4.385349
1981,9.939641,4.204303
1982,9.711941,4.095304
1983,9.654329,4.047822
1984,9.353447,4.114002
1985,9.879895,4.177916
1986,10.023534,4.164586
1987,10.059908,4.215461
1988,10.013472,4.303169
1989,10.189486,4.285587
1990,10.521595,4.275440
1991,10.624450,4.288762
1992,10.326096,4.101485
1993,10.054433,4.079975
1994,9.933511,4.061836
1995,9.773095,4.097368
1996,10.102875,4.164388
1997,9.660192,4.131378
1998,9.728953,4.059213
1999,9.578710,4.096031
2000,9.669215,4.148800
2001,9.780857,4.125716
2002,9.439250,4.162733
2003,9.582912,4.327484
2004,9.557824,4.421495
2005,9.445231,4.515645
2006,9.338998,4.611727
2007,9.134187,4.688505
2008,8.825938,4.708763
2009,7.938318,4.572416
2010,8.156537,4.774950
2011,7.422031,4.878259
2012,7.639657,4.887112
2013,7.427593,4.868795
2014,6.774484,4.830362
2015,6.477040,4.767311
2016,6.083754,4.713752
2017,5.863442,4.735624
2018,5.715981,4.780249
2019,5.462124,4.778430
2020,4.865281,4.479880
2021,5.120463,4.676995
2022,4.648789,4.676281
2023,4.504883,4.697341
