"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,71.125737,11.152993,26.238271
1991,70.896160,11.571385,25.290145
1992,72.459420,11.682276,25.153205
1993,73.380567,11.837902,25.394302
1994,72.748360,12.305278,26.160100
1995,71.853351,12.235216,26.042311
1996,74.861457,12.791800,26.754107
1997,75.147170,13.215343,26.861638
1998,74.878119,13.336565,26.131083
1999,76.271486,13.373001,25.932877
2000,75.848984,13.302744,25.306031
2001,76.055361,13.385382,25.124578
2002,77.831937,13.572690,25.591817
2003,76.738486,14.009977,25.885646
2004,77.397207,14.416736,26.033408
2005,77.327369,14.750083,26.092281
2006,77.011132,15.054830,26.120156
2007,77.136972,15.586786,26.342238
2008,75.884643,14.804363,24.174648
2009,73.823423,14.602775,22.570522
2010,71.833012,15.009466,23.125099
2011,70.899654,14.989347,22.186007
2012,70.605789,15.469884,22.087974
2013,69.775504,15.507456,21.788340
2014,70.379004,16.300730,22.253508
2015,70.138504,16.855721,22.544966
2016,72.119520,18.170857,23.057919
2017,72.374358,18.493941,23.168150
2018,71.273548,18.575463,23.001287
2019,69.811276,17.844895,21.775845
2020,53.292529,16.962023,20.919861
2021,58.116369,18.643481,22.346891
2022,60.367844,18.350509,21.046960
2023,60.479994,17.891354,20.065547
