"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
1990,3.661178,3.660494,3.688803,4.935242,4.934989,4.936760,4.975097,4.980219,5.265794,4.715682,4.979875,4.976278,5.488761,5.504319,5.413233,5.349491,5.319625,5.322417,5.186252,5.192988,5.189845,5.182274,5.123881,4.535341
1991,3.614481,3.613811,3.653555,4.894710,4.897361,4.899351,4.938370,4.944035,5.144641,4.675942,4.985729,4.983030,5.508463,5.527539,5.444729,5.380178,5.349939,5.352463,5.215059,5.223475,5.220861,5.213136,5.160090,4.605070
1992,3.538257,3.537635,3.601260,4.822187,4.824861,4.827023,4.866157,4.871733,4.990314,4.590931,4.867619,4.866240,5.483577,5.504873,5.429977,5.367086,5.336361,5.339629,5.208635,5.218706,5.214456,5.206842,5.153707,4.633398
1993,3.395994,3.395456,3.474939,4.675667,4.678351,4.679931,4.719761,4.725667,4.775770,4.443643,4.812412,4.811125,5.404445,5.430617,5.364252,5.301394,5.270688,5.276149,5.148467,5.160733,5.157136,5.149701,5.100204,4.608767
1994,3.089609,3.088709,3.156017,4.341479,4.344236,4.345975,4.387021,4.393301,4.380646,4.100475,4.551949,4.550725,5.117888,5.148748,5.090414,5.026180,4.995624,5.000288,4.874073,4.886430,4.884150,4.877272,4.827945,4.372008
1995,3.061548,3.060877,3.140065,4.297245,4.300034,4.299039,4.339647,4.350750,4.302556,4.072358,4.634833,4.633658,5.206877,5.237108,5.152717,5.087765,5.055777,5.060883,4.937585,4.951626,4.950591,4.944104,4.877556,4.465696
1996,2.987998,2.987283,3.052633,4.182371,4.185111,4.184246,4.225054,4.238074,4.160001,3.974385,4.579636,4.579625,5.180591,5.209269,5.121961,5.055188,5.020674,5.025757,4.907458,4.920988,4.920358,4.913865,4.860328,4.467077
1997,2.836057,2.835435,2.906122,3.951320,3.954071,3.953434,3.995993,3.988447,3.898654,3.757978,4.454632,4.455957,5.082919,5.111675,5.022032,4.960071,4.927709,4.933521,4.819841,4.823999,4.821928,4.815803,4.767093,4.404891
1998,2.685574,2.685178,2.743004,3.729164,3.731924,3.731452,3.787616,3.782794,3.673314,3.563101,4.291328,4.294942,4.956295,4.982167,4.882505,4.817983,4.787412,4.792529,4.677393,4.688135,4.684685,4.679054,4.658243,4.321777
1999,2.503184,2.502535,2.558039,3.478003,3.480683,3.480678,3.538362,3.536004,3.419266,3.337340,3.994317,3.999268,4.761086,4.787094,4.659779,4.595322,4.564920,4.570188,4.453561,4.467381,4.459447,4.454101,4.458586,4.148925
2000,2.322919,2.322187,2.375651,3.262165,3.264495,3.262567,3.324461,3.317577,3.187800,3.126657,3.729361,3.734247,4.563885,4.598054,4.440792,4.383794,4.356023,4.361472,4.244153,4.256704,4.242868,4.237833,4.245420,3.960480
2001,2.195480,2.191196,2.235103,2.984323,2.979472,2.977443,3.038932,3.030208,2.911548,2.874963,3.563101,3.569715,4.378460,4.399707,4.242390,4.189316,4.161761,4.165551,4.053037,4.066034,4.066649,4.061933,4.056308,3.812938
2002,,2.097220,2.140937,2.842439,2.836513,2.833905,2.896093,2.886085,2.766970,2.733563,3.524350,3.531971,4.292627,4.310830,4.143877,4.089422,4.063639,4.067536,3.962316,3.969293,3.971330,3.966846,3.989283,3.766836
2003,,,1.931914,2.552540,2.551990,2.549595,2.611148,2.600131,2.487573,2.456458,3.301108,3.308335,4.088660,4.104742,3.938477,3.881158,3.855580,3.860170,3.763308,3.772805,3.774240,3.770074,3.811999,3.606955
2004,,,,2.467769,2.463659,2.461106,2.524920,2.519295,2.401153,2.387435,3.101935,3.108528,3.901436,3.914510,3.764992,3.709235,3.683294,3.685934,3.585195,3.592981,3.594119,3.589498,3.639997,3.451413
2005,,,,,2.356741,2.367955,2.434653,2.461560,2.324920,2.319433,2.966202,2.972581,3.690234,3.699538,3.573900,3.521625,3.494406,3.494651,3.409130,3.415509,3.418236,3.413961,3.483556,3.309452
2006,,,,,,2.343769,2.401869,2.413797,2.256215,2.259089,2.918171,2.923609,3.534395,3.543277,3.450121,3.344622,3.318801,3.317086,3.240090,3.244717,3.249402,3.245014,3.360633,3.205427
2007,,,,,,,2.330438,2.354875,2.186028,2.185677,2.821660,2.824951,3.377150,3.381561,3.320791,3.188323,3.163805,3.161709,3.089891,3.092338,3.096038,3.092411,3.201333,3.069267
2008,,,,,,,,2.328462,2.127285,2.127022,2.754331,2.767506,3.142230,3.142007,3.090815,2.957837,2.940145,2.938096,2.860404,2.860848,2.864937,2.861079,2.977177,2.859641
2009,,,,,,,,,2.086073,2.066899,2.649291,2.661250,2.883552,2.885013,2.894807,2.781277,2.758970,2.756593,2.688818,2.686659,2.691386,2.687746,2.813392,2.711962
2010,,,,,,,,,,2.033525,2.525210,2.507433,2.688527,2.667798,2.729035,2.597574,2.571909,2.569697,2.502949,2.498376,2.504576,2.500851,2.624197,2.539390
2011,,,,,,,,,,,2.467956,2.468582,2.566543,2.549596,2.613451,2.489643,2.464274,2.462367,2.394615,2.391564,2.398079,2.394803,2.516250,2.446312
2012,,,,,,,,,,,,2.417105,2.455262,2.438477,2.495937,2.421529,2.398921,2.401749,2.334043,2.326909,2.334220,2.331082,2.450455,2.386146
2013,,,,,,,,,,,,,2.255776,2.247820,2.287671,2.235336,2.235346,2.242044,2.170099,2.160040,2.166002,2.162992,2.276626,2.219608
2014,,,,,,,,,,,,,,2.155635,2.174304,2.138914,2.147430,2.157229,2.091953,2.081296,2.087152,2.084652,2.195414,2.154810
2015,,,,,,,,,,,,,,,2.103609,2.079713,2.123545,2.124956,2.055227,2.040940,2.047653,2.045044,2.151631,2.113159
2016,,,,,,,,,,,,,,,,2.079426,2.060308,2.061650,1.986281,1.970302,1.974838,1.972953,2.065349,2.033510
2017,,,,,,,,,,,,,,,,,2.075366,2.078632,2.006005,1.986254,1.988548,1.989825,2.075616,2.049028
2018,,,,,,,,,,,,,,,,,,2.077451,1.992143,1.965262,1.970417,1.972435,2.052381,2.029342
2019,,,,,,,,,,,,,,,,,,,1.979980,1.953333,1.953260,1.952470,2.039364,2.021499
2020,,,,,,,,,,,,,,,,,,,,1.870400,1.866636,1.868358,1.953967,1.939605
2021,,,,,,,,,,,,,,,,,,,,,1.847809,1.843214,1.908515,1.893087
2022,,,,,,,,,,,,,,,,,,,,,,1.822804,1.884660,1.875424
2023,,,,,,,,,,,,,,,,,,,,,,,1.841247,1.839210
2024,,,,,,,,,,,,,,,,,,,,,,,,1.788850
