"Year","CRF Production","CRF Import","CRF Export","FAO Production","FAO Import","FAO Export"
1960,0.324396,,,,,
1961,0.272857,,,4.021300,1.461800,0.157000
1962,0.267191,,,3.952300,1.543400,0.161900
1963,0.257541,,,4.137200,1.648400,0.171300
1964,0.236326,,,4.401300,1.865200,0.170600
1965,0.232313,,,4.536400,1.722300,0.152200
1966,0.226923,,,4.539900,1.888500,0.149300
1967,0.257531,,,4.436200,2.076300,0.144500
1968,0.285623,,,4.660100,2.267200,0.151700
1969,0.312368,,,4.936500,2.416200,0.170500
1970,0.295453,,,4.903200,2.232700,0.164700
1971,0.301340,,,4.335900,2.648100,0.229500
1972,0.270783,,,4.337800,3.053700,0.246300
1973,0.288360,,,4.614000,3.223900,0.297200
1974,0.301805,,,4.552000,3.726000,0.408300
1975,0.338681,,,3.615000,2.654000,0.246300
1976,0.318796,,,4.188000,3.107600,0.327400
1977,0.295606,,,4.145000,3.394000,0.388000
1978,0.312211,,,4.165000,3.495400,0.375100
1979,0.307081,,,4.223000,3.726800,0.421100
1980,0.294779,,,3.787000,3.509600,0.466200
1981,0.203953,,,3.379000,4.033600,0.357200
1982,0.166980,,,3.227000,3.956400,0.384100
1983,0.204712,,,3.208000,4.279000,0.409000
1984,0.264046,,,3.591000,4.522000,0.516000
1985,0.320398,,,3.712000,4.598000,0.558000
1986,0.431489,,,3.941000,4.751000,0.613000
1987,0.413929,,,4.184000,5.286200,0.731900
1988,0.412789,,,4.295000,5.600500,0.798000
1989,0.544987,,,4.450000,5.990800,0.842300
1990,0.639124,,,4.824000,5.596700,1.100100
1991,0.624529,,,4.951000,5.527300,1.238800
1992,0.556709,,,5.152000,5.892047,1.237806
1993,0.500851,,,5.282000,5.803580,1.240706
1994,0.622034,,,5.829000,6.433000,1.254000
1995,0.619460,,,6.093000,6.277000,1.316000
1996,0.572449,,,6.189000,6.525000,1.340000
1997,0.607291,,,6.480000,7.098000,1.673000
1998,0.576515,,,6.477000,6.725400,1.789500
1999,0.528195,,,6.576000,7.089600,1.784300
2000,0.586343,,,6.605000,6.675000,1.759000
2001,0.583995,,,6.204000,7.325250,1.628051
2002,0.617922,,,6.452000,7.075436,1.548888
2003,0.665126,,,6.455000,7.489705,1.697126
2004,0.560535,,,6.442000,7.527669,1.557306
2005,0.548585,,,6.241000,7.663000,1.163999
2006,0.390424,,,5.454000,7.741001,1.001999
2007,0.311585,,,5.228000,7.890001,0.984332
2008,0.332874,,,4.983270,7.402821,1.030911
2009,0.324259,,,4.293001,7.018394,0.895702
2010,0.279180,,,4.300001,7.253764,0.960977
2011,0.294903,,,4.341998,6.887094,0.982308
2012,0.326748,,,4.291998,6.059500,1.159500
2013,0.307455,,,4.561001,5.866162,1.170004
2014,0.297771,,,4.397000,5.626357,1.010000
2015,0.304147,,,3.970001,6.032000,0.807000
2016,0.290407,,,3.677001,5.875703,0.766575
2017,0.298419,,,3.856990,5.603646,0.808661
2018,0.313874,,,3.894725,5.477067,0.798400
2019,0.305961,,,3.850989,5.150001,0.850700
2020,0.276779,,,3.633829,4.555000,0.780999
2021,0.284939,,,3.641991,4.206000,0.979557
2022,0.313015,,,3.456000,4.730000,0.949736
2023,0.331091,,,3.225376,3.990000,0.812984
