"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil","Other"
2015,"NaN",0.900000,"NaN","NaN","NaN","NaN","NaN",0.070000
2016,"NaN",1.240000,"NaN","NaN","NaN","NaN","NaN",-0.030000
2017,"NaN",0.670000,"NaN","NaN","NaN",0,"NaN",-0.070000
2018,"NaN",0.740000,"NaN","NaN","NaN",0,"NaN",-0.080000
2019,"NaN",1.210000,"NaN","NaN","NaN",0.070000,"NaN",-0.010000
2020,"NaN",-1.070000,"NaN","NaN","NaN",0.110000,"NaN",-0.100000
2021,"NaN",2.530000,"NaN","NaN","NaN",0.100000,"NaN",0.080000
2022,"NaN",0.340000,"NaN","NaN","NaN",0.270000,"NaN",0.510000
2023,"NaN",0.520000,"NaN","NaN","NaN",0.270000,"NaN",-0.390000
2024,"NaN",1.870000,"NaN","NaN","NaN",0.340000,"NaN",0.080000
