"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
2000,39.693713,38.266803,0.136682,0.278307,1.010920,0.001001
2001,40.578899,39.336225,0.137121,0.288996,0.889966,-0.073409
2002,42.335841,40.840041,0.138431,0.282304,1.105201,-0.030136
2003,42.319170,40.342234,0.162939,0.316405,1.551982,-0.054389
2004,43.893745,41.887975,0.145929,0.277803,1.646198,-0.064159
2005,43.105491,40.806352,0.146693,0.252349,2.022269,-0.122172
2006,44.623989,42.051369,0.152883,0.255600,2.247153,-0.083015
2007,44.468186,42.654929,0.158421,0.262142,1.470396,-0.077703
2008,44.070866,42.082087,0.162950,0.266686,1.602959,-0.043816
2009,44.239787,41.922119,0.133457,0.299482,1.926300,-0.041570
2010,48.895946,45.889394,0.125869,0.315093,2.628943,-0.063353
2011,52.099738,48.730432,0.129286,0.316413,2.960618,-0.037010
2012,51.260073,47.838860,0.121622,0.319304,3.043243,-0.062957
2013,51.591599,47.804846,0.111223,0.319871,3.355179,0.000481
2014,52.611232,48.512512,0.088305,0.328141,3.664972,0.017301
2015,54.411790,50.148484,0.088234,0.337666,3.752334,0.085072
2016,54.142629,49.801776,0.093847,0.343117,3.937934,-0.034044
2017,56.055751,50.897907,0.099625,0.442596,4.610563,0.005060
2018,56.842851,51.166198,0.100858,0.491086,5.074857,0.009852
2019,55.582364,49.693152,0.116993,0.556196,5.200120,0.015903
2020,53.871280,47.714862,0.117785,0.567231,5.448386,0.023017
2021,58.284012,51.174857,0.124287,0.588755,6.365567,0.030546
2022,58.586119,50.344046,0.129169,0.589702,7.485861,0.037342
