"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
2000,-0.052622,-0.001088,-0.004039,-0.026992,-0.002407
2001,-0.053422,-0.001160,-0.003877,-0.026991,-0.002403
2002,-0.051891,-0.001104,-0.003636,-0.027433,-0.002183
2003,-0.052570,-0.001175,-0.003544,-0.028095,-0.002255
2004,-0.056317,-0.001365,-0.003735,-0.029447,-0.002421
2005,-0.055817,-0.001367,-0.003508,-0.030091,-0.002411
2006,-0.057095,-0.001486,-0.003540,-0.032026,-0.002365
2007,-0.056774,-0.001533,-0.003454,-0.033561,-0.002400
2008,-0.055014,-0.001498,-0.003169,-0.033677,-0.002397
2009,-0.053251,-0.001469,-0.002897,-0.033637,-0.002214
2010,-0.056126,-0.001730,-0.002863,-0.034726,-0.002071
2011,-0.054019,-0.001680,-0.002625,-0.034441,-0.002303
2012,-0.054498,-0.001932,-0.002432,-0.035106,-0.002254
2013,-0.053013,-0.002067,-0.002122,-0.035566,-0.002202
2014,-0.049671,-0.001984,-0.001766,-0.035186,-0.002184
2015,-0.044557,-0.001766,-0.001453,-0.033883,-0.001916
2016,-0.043626,-0.001744,-0.001384,-0.033470,-0.002205
2017,-0.047338,-0.001980,-0.001720,-0.032960,-0.002214
2018,-0.045747,-0.001982,-0.001599,-0.032522,-0.002216
2019,-0.044410,-0.001955,-0.001546,-0.031952,-0.002200
2020,-0.042632,-0.001950,-0.001398,-0.031179,-0.002282
2021,-0.041461,-0.001913,-0.001366,-0.030628,-0.002319
2022,-0.040392,-0.001905,-0.001232,-0.029935,-0.002320
