"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
2000,2.081146,3.546508,
2001,2.073603,4.934237,
2002,2.106907,4.781189,
2003,4.618343,2.187586,
2004,2.166795,4.599976,
2005,1.913803,3.132118,
2006,2.057953,2.794768,
2007,2.178143,2.754134,
2008,2.203074,2.934319,
2009,2.545430,3.418757,
2010,2.382838,3.687260,
2011,2.360296,4.130944,
2012,2.340060,4.132874,
2013,2.319315,3.905229,
2014,2.290368,4.184611,
2015,2.340642,5.391255,
2016,2.445594,5.382233,
2017,2.485809,4.698622,
2018,2.419647,4.658291,
2019,2.448415,4.489949,
2020,2.532898,3.648293,
2021,2.834839,3.993633,
2022,2.737606,3.688413,
