"Year","Combined heat and power generation"
2000,1.999400
2001,2.123339
2002,1.927817
2003,1.746340
2004,1.655561
2005,1.537657
2006,1.544614
2007,1.587385
2008,1.596697
2009,1.601704
2010,1.653468
2011,1.713048
2012,1.694905
2013,1.846064
2014,1.945689
2015,2.097945
2016,2.172790
2017,2.226349
2018,2.267223
2019,2.828351
2020,2.628088
2021,2.653596
2022,2.700639
