"Year","Singapore","World"
1950,1.888787,2.378734
1951,2.645772,2.515504
1952,3.055978,2.502896
1953,2.931920,2.524970
1954,3.011540,2.527923
1955,3.069764,2.716614
1956,2.944662,2.835461
1957,1.185930,2.869636
1958,1.515661,2.891376
1959,1.147517,2.985590
1960,0.859817,3.112931
1961,1.252435,3.071906
1962,1.460290,3.120741
1963,1.863586,3.215595
1964,1.977370,3.315825
1965,1.296525,3.391959
1966,0.249557,3.484865
1967,1.435270,3.523155
1968,2.553841,3.640223
1969,3.356624,3.802135
1970,8.526031,4.032588
1971,7.646668,4.112597
1972,10.035508,4.219747
1973,9.404236,4.355556
1974,9.586735,4.253289
1975,10.519458,4.173319
1976,12.751380,4.310191
1977,11.842750,4.352449
1978,13.752017,4.432504
1979,14.831445,4.465701
1980,12.485445,4.364099
1981,10.153489,4.168842
1982,10.802058,4.060496
1983,12.433952,4.023942
1984,11.749158,4.068703
1985,11.845240,4.137420
1986,12.424466,4.122175
1987,11.436107,4.179654
1988,12.383327,4.262697
1989,13.953262,4.241189
1990,14.322840,4.266701
1991,14.104390,4.282473
1992,14.703855,4.090168
1993,14.967894,4.068620
1994,17.580209,4.047994
1995,11.474289,4.083544
1996,13.101966,4.148108
1997,14.944085,4.114970
1998,12.152546,4.044522
1999,12.403753,4.079117
2000,9.260583,4.133621
2001,9.359491,4.107635
2002,9.696033,4.144280
2003,9.553336,4.307030
2004,9.825615,4.399256
2005,9.277559,4.493561
2006,9.212495,4.585831
2007,8.941557,4.661509
2008,8.363255,4.682571
2009,8.211622,4.545518
2010,8.745298,4.744937
2011,9.069439,4.848876
2012,8.709057,4.854014
2013,8.726995,4.837742
2014,8.721303,4.804597
2015,8.940626,4.739116
2016,8.802549,4.682487
2017,8.939918,4.705259
2018,8.927353,4.752195
2019,8.642641,4.747814
2020,8.309387,4.457744
2021,9.033065,4.634748
2022,8.661040,4.678452
2023,8.821355,4.707772
2024,9.244836,4.729075
