"Year","Argentina","World"
1950,1.758235,2.372741
1951,2.014618,2.509281
1952,2.039981,2.496828
1953,1.948386,2.519009
1954,2.000645,2.522133
1955,2.115430,2.710743
1956,2.327586,2.829705
1957,2.458599,2.864250
1958,2.243804,2.886446
1959,2.444443,2.981084
1960,2.396320,3.109071
1961,2.472200,3.068418
1962,2.551818,3.117449
1963,2.341913,3.212604
1964,2.564437,3.313059
1965,2.666444,3.389338
1966,2.815352,3.482441
1967,2.877178,3.521091
1968,2.985735,3.638560
1969,3.291103,3.800910
1970,3.466371,4.031813
1971,3.667826,4.112250
1972,3.659342,4.219880
1973,3.755943,4.358162
1974,3.751721,4.257539
1975,3.665447,4.190445
1976,3.792247,4.342568
1977,3.769810,4.387958
1978,3.777910,4.445411
1979,4.010137,4.491730
1980,3.877142,4.385349
1981,3.581452,4.204303
1982,3.573349,4.095304
1983,3.579043,4.047822
1984,3.568349,4.114002
1985,3.319274,4.177916
1986,3.387178,4.164586
1987,3.680022,4.215461
1988,3.830915,4.303169
1989,3.638042,4.285587
1990,3.436175,4.275440
1991,3.556930,4.288762
1992,3.620521,4.101485
1993,3.467841,4.079975
1994,3.435022,4.061836
1995,3.584852,4.097368
1996,3.705902,4.164388
1997,3.812630,4.131378
1998,3.845095,4.059213
1999,4.046156,4.096031
2000,3.870130,4.148800
2001,3.605525,4.125716
2002,3.297636,4.162733
2003,3.513263,4.327484
2004,4.061399,4.421495
2005,4.135820,4.515645
2006,4.415472,4.611727
2007,4.353007,4.688505
2008,4.651722,4.708763
2009,4.379589,4.572416
2010,4.524218,4.774950
2011,4.570611,4.878259
2012,4.561405,4.887112
2013,4.471467,4.868795
2014,4.399316,4.830362
2015,4.432659,4.767311
2016,4.349166,4.713752
2017,4.242436,4.735624
2018,4.066307,4.780249
2019,3.989407,4.778430
2020,3.666417,4.479880
2021,4.220879,4.676995
2022,4.484273,4.676281
2023,4.277679,4.697341
