"Year","Argentina","World"
1950,0.643008,2.372741
1951,0.662278,2.509281
1952,0.665096,2.496828
1953,0.713860,2.519009
1954,0.725282,2.522133
1955,0.733927,2.710743
1956,0.736413,2.829705
1957,0.793972,2.864250
1958,0.817012,2.886446
1959,0.959058,2.981084
1960,1.367079,3.109071
1961,1.825812,3.068418
1962,2.109802,3.117449
1963,2.094783,3.212604
1964,2.150237,3.313059
1965,2.125178,3.389338
1966,2.232951,3.482441
1967,2.379615,3.521091
1968,2.574812,3.638560
1969,2.608109,3.800910
1970,2.849249,4.031813
1971,3.025699,4.112250
1972,3.026763,4.219880
1973,2.950285,4.358162
1974,2.888883,4.257539
1975,2.778101,4.190445
1976,2.724527,4.342568
1977,2.872119,4.387958
1978,2.962524,4.445411
1979,2.984114,4.491730
1980,3.116654,4.385349
1981,3.137207,4.204303
1982,3.142333,4.095304
1983,3.322428,4.047822
1984,3.244053,4.114002
1985,3.129932,4.177916
1986,3.066202,4.164586
1987,2.971303,4.215461
1988,3.199480,4.303169
1989,3.258557,4.285587
1990,3.247775,4.275440
1991,3.361273,4.288762
1992,3.589212,4.101485
1993,3.789546,4.079975
1994,4.061961,4.061836
1995,4.397203,4.097368
1996,4.822740,4.164388
1997,4.884120,4.131378
1998,4.995234,4.059213
1999,5.019736,4.096031
2000,5.084682,4.148800
2001,5.209290,4.125716
2002,5.052619,4.162733
2003,5.235376,4.327484
2004,5.222947,4.421495
2005,5.086731,4.515645
2006,5.061861,4.611727
2007,4.863776,4.688505
2008,4.750293,4.708763
2009,4.317994,4.572416
2010,4.159059,4.774950
2011,3.913925,4.878259
2012,3.802082,4.887112
2013,3.619758,4.868795
2014,3.553397,4.830362
2015,3.580716,4.767311
2016,3.537244,4.713752
2017,3.412170,4.735624
2018,3.505008,4.780249
2019,3.970696,4.778430
2020,3.792940,4.479880
2021,4.026017,4.676995
2022,4.619318,4.676281
2023,4.951999,4.697341
