"Year","CRF Production","FAO Production","CRF Import","FAO Import","CRF Export","FAO Export"
1961,0.074300,0.074300,0,,0,
1962,0.069200,0.069200,0,,0,
1963,0.070900,0.070900,0.000100,,0,
1964,0.091700,0.091700,0,,0,
1965,0.110800,0.110800,0,,0,
1966,0.135502,0.135502,0.008400,0.008400,0,
1967,0.136612,0.136612,0.003200,0.003200,0,
1968,0.160271,0.160271,0.004800,0.004800,0,
1969,0.175108,0.175108,0.007100,0.007100,0,
1970,0.189219,0.189219,0.006400,0.006400,0,
1971,0.225654,0.225654,0.006500,0.006500,0.002738,0.002738
1972,0.273386,0.273386,0.003600,0.003600,0.014216,0.014216
1973,0.289020,0.289020,0.002400,0.002400,0.014700,0.014700
1974,0.324967,0.324967,0,0.002400,0.019200,0.019200
1975,0.320544,0.320544,0.002600,0.005000,0.008200,0.008200
1976,0.334000,0.334000,0.000300,0.005300,0.015500,0.015500
1977,0.278000,0.278000,0.001200,0.003600,0.018300,0.018300
1978,0.300000,0.300000,0.001400,0.003800,0.024400,0.024400
1979,0.360000,0.360000,0.009700,0.009700,0.011400,0.012000
1980,0.411000,0.411000,0.032200,0.032200,0.022000,0.022600
1981,0.353000,0.353000,0.015500,0.015500,0.022400,0.022400
1982,0.342000,0.342000,0.002900,0.002900,0.033800,0.033800
1983,0.384000,0.384000,0.002700,0.002700,0.024600,0.024600
1984,0.355000,0.355000,0.001200,0.002800,0.022000,0.023200
1985,0.299000,0.299000,0.000400,0.002000,0.020200,0.021400
1986,0.360000,0.360000,0.001800,0.002000,0.029800,0.031000
1987,0.366000,0.366000,0.001948,0.002148,0.020800,0.022000
1988,0.300000,0.300000,0.001352,0.001552,0.031200,0.032400
1989,0.265000,0.265000,0.000359,0.000559,0.035500,0.036700
1990,0.246000,0.246000,0.000658,0.000858,0.028400,0.029600
1991,0.261000,0.261000,0.000658,0.000858,0.028400,0.029600
1992,0.375960,0.342000,0.039502,0.039530,0.029678,0.021598
1993,0.349165,0.685000,0.073836,0.073468,0.031726,0.022602
1994,0.324177,0.499000,0.090462,0.089796,0.045520,0.020764
1995,0.430105,0.430000,0.060100,0.060400,0.116912,0.102400
1996,0.614383,0.618000,0.056393,0.058900,0.213190,0.208900
1997,0.678777,0.678000,0.054861,0.057000,0.204413,0.199200
1998,0.752295,0.752000,0.073703,0.077700,0.172463,0.154800
1999,0.688362,0.688000,0.088269,0.093400,0.169484,0.152400
2000,0.800450,0.782000,0.063292,0.065000,0.245360,0.229000
2001,0.694615,0.690000,0.044337,0.044000,0.165948,0.150000
2002,0.677163,0.690000,0.009300,0.008000,0.447651,0.360000
2003,1.104995,1.110000,0.023681,0.015365,0.704207,0.772510
2004,1.247640,1.513000,0.032032,0.042600,0.692564,0.687108
2005,1.319646,1.320000,0.046712,0.038000,0.659158,0.640000
2006,1.331827,1.331000,0.074601,0.050000,0.629371,0.618978
2007,1.259692,1.260000,0.105007,0.104943,0.296727,0.449024
2008,1.442831,1.443000,0.105927,0.117698,0.475568,0.443228
2009,1.183522,1.184000,0.070719,0.063050,0.457074,0.420901
2010,1.284257,1.284000,0.117499,0.127454,0.467460,0.436990
2011,1.223870,1.263000,0.143755,0.164854,0.416036,0.393852
2012,1.191267,1.191000,0.128020,0.134921,0.257804,0.241677
2013,1.205923,1.205000,0.084889,0.093374,0.284050,0.249408
2014,1.082931,1.082000,0.081947,0.088145,0.237826,0.224960
2015,1.002008,1.058000,0.120742,0.132969,0.113252,0.109646
2016,1.155295,1.158000,0.126439,0.152042,0.089474,0.085512
2017,1.055725,1.040873,0.145971,0.162565,0.103073,0.098011
2018,1.062516,1.062516,0.143301,0.146591,0.081129,0.080079
2019,0.996092,0.945413,0.090695,0.096897,0.137528,0.139874
2020,1.002884,1.014065,0.191134,0.109672,0.162062,0.127454
2021,1.271002,1.076767,0.157184,0.126976,0.293551,0.218580
2022,1.247635,1.233000,0.115686,0.151544,0.145860,0.121327
2023,,1.233000,,0.109172,,0.089481
