"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-7.279922,,,,
1991,0.041571,,,,
1992,2.412343,,,,
1993,-2.363051,,,,
1994,-2.424818,,,,
1995,-3.606037,,,,
1996,-1.821691,,,,
1997,-0.512228,,,,
1998,3.054005,,,,
1999,-3.244519,,,,
2000,-5.450043,,,,
2001,-8.054757,,,,
2002,-6.683926,,,,
2003,-3.137771,,,,
2004,5.427954,,,,
2005,-6.196445,,,,
2006,-7.167171,,,,
2007,-6.574261,,,,
2008,-8.664967,,,,
2009,-7.505617,,,,
2010,-6.555916,,,,
2011,-6.641067,,,,
2012,-8.607999,,,,
2013,-6.407623,,,,
2014,-13.032107,,,,
2015,-11.642465,,,,
2016,-11.571025,,,,
2017,-9.651577,,,,
2018,-10.381862,,,,
2019,-10.799525,,,,
2020,-10.759390,,,,
2021,-7.735670,,,,
2022,-1.522038,,,,
