"Year","CRF Production","FAO Production","CRF Import","FAO Import","CRF Export","FAO Export"
1961,0.780700,0.780700,0.880800,0.880800,0.003400,0.003400
1962,0.877000,0.877000,0.536100,0.536100,0.003000,0.003000
1963,0.726000,0.726000,0.489200,0.489200,0.001600,0.001600
1964,0.917000,0.917000,0.647700,0.647700,0.007000,0.007000
1965,0.934000,0.934000,0.799100,0.799100,0.001900,0.001900
1966,1.042000,1.042000,0.764900,0.764900,0,0.001900
1967,0.868000,0.868000,0.650800,0.650800,0,0.001900
1968,0.863000,0.863000,0.848400,0.848400,0.002800,0.002800
1969,0.923000,0.923000,0.848800,0.848800,0.004200,0.004200
1970,0.736000,0.736000,0.757700,0.757700,0,0.004200
1971,0.760000,0.760000,0.776700,0.776700,0,0.004200
1972,0.594000,0.594000,0.523900,0.523900,0.000300,0.000300
1973,0.388000,0.388000,0.464100,0.464100,0.000600,0.000600
1974,0.335000,0.335000,0.511100,0.915600,0.000400,0.000400
1975,0.480000,0.480000,0.563000,0.967550,0.000100,0.000100
1976,0.631000,0.631000,0.191600,0.191600,0.000100,0.000100
1977,0.859000,0.859000,0.394300,0.394300,0.000200,0.000200
1978,0.640000,0.640000,0.381900,0.381900,0.001100,0.001100
1979,0.908000,0.908000,0.625500,0.625500,0.000800,0.000800
1980,0.846000,0.846000,0.643200,0.643200,0.001100,0.001100
1981,0.980000,0.980000,0.402300,0.402300,0.003200,0.003200
1982,1.096000,1.096000,0.241100,0.241100,0.002700,0.002700
1983,1.121000,1.121000,0.306400,0.306400,0.002700,0.002700
1984,0.934000,0.934000,0.339900,0.339900,0.007200,0.007200
1985,0.901000,0.901000,0.193800,0.193800,0.004000,0.004000
1986,0.978000,0.978000,0.303200,0.303200,0,0.004000
1987,1.139000,1.139000,0.282652,0.282652,0.001420,0.001420
1988,0.950000,0.950000,0.188967,0.188967,0.006499,0.006499
1989,0.950000,0.950000,0.136441,0.136441,0.011882,0.011882
1990,0.950000,0.950000,0.046262,0.046262,0.040799,0.040799
1991,0.950000,0.950000,0.046222,0.046222,0.040799,0.040799
1992,1.472000,1.472000,0.192867,0.192867,0.001587,0.001587
1993,0.998000,0.998000,0.189200,0.189200,0.002900,0.002900
1994,1.258849,1.080000,0.229431,0.196900,0.006437,0.007100
1995,1.824890,1.329000,0.170326,0.156500,0.032444,0.032800
1996,1.797956,1.711000,0.187786,0.136500,0.043981,0.050200
1997,2.022357,1.170000,0.248922,0.183400,0.048818,0.048800
1998,1.496300,1.377000,0.294317,0.222600,0.035090,0.037000
1999,1.503175,1.600000,0.252965,0.201400,0.036493,0.038800
2000,1.407808,1.408000,0.212219,0.196000,0.039909,0.044000
2001,1.442489,1.442000,0.163606,0.150000,0.076560,0.085000
2002,1.658905,1.639000,0.024205,0.024203,0.253981,0.285000
2003,1.822315,1.790000,0.097081,0.085600,0.326118,0.363980
2004,1.517423,1.562000,0.137853,0.086248,0.364869,0.233788
2005,1.782941,1.739000,0.139353,0.104000,0.359227,0.404000
2006,1.745936,2.103000,0.125020,0.113734,0.336961,0.384312
2007,1.511952,1.516000,0.110917,0.101000,0.212878,0.236900
2008,0.954908,0.955000,0.089816,0.058157,0.270235,0.302000
2009,2.150918,2.151000,0.054484,0.043000,0.187694,0.210000
2010,2.159703,2.159000,0.048341,0.035936,0.196203,0.216295
2011,2.141888,2.151000,0.048715,0.040694,0.135480,0.182035
2012,3.339153,3.339000,0.037102,0.027536,0.095293,0.096827
2013,3.613623,3.614000,0.025739,0.020408,0.128824,0.154242
2014,2.769464,2.762600,0.015985,0.039302,0.136995,0.187216
2015,3.355732,3.131000,0.014449,0.012173,0.088915,0.108620
2016,3.730620,3.130000,0.012663,0.014373,0.085969,0.116304
2017,4.002901,4.020000,0.009913,0.010521,0.113830,0.144649
2018,3.697306,4.020000,0.010289,0.009514,0.150790,0.169680
2019,3.719739,4.020000,0.005840,0.004983,0.255303,0.377406
2020,3.127326,3.719740,0.007900,0.005887,0.335466,0.336060
2021,3.827339,3.827339,0.011090,0.011676,0.377133,0.378000
2022,3.854147,3.854000,0.005938,0.006324,0.331711,0.330478
2023,,3.854000,,0.004911,,0.365524
