"Year","Oman","World"
1950,0,2.378734
1951,0,2.515504
1952,0,2.502896
1953,0,2.524970
1954,0,2.527923
1955,0,2.716614
1956,0,2.835461
1957,0,2.869636
1958,0,2.891376
1959,0,2.985590
1960,0,3.112931
1961,0,3.071906
1962,0,3.120741
1963,0,3.215595
1964,0,3.315825
1965,0,3.391959
1966,0,3.484865
1967,12.967116,3.523155
1968,53.622661,3.640223
1969,70.708337,3.802135
1970,69.901818,4.032588
1971,60.225246,4.112597
1972,56.315220,4.219747
1973,56.686389,4.355556
1974,54.167479,4.253289
1975,61.086747,4.173319
1976,63.024627,4.310191
1977,55.463540,4.352449
1978,49.327636,4.432504
1979,44.428081,4.465701
1980,40.999303,4.364099
1981,44.876644,4.168842
1982,43.578696,4.060496
1983,47.823081,4.023942
1984,48.923508,4.068703
1985,55.161833,4.137420
1986,58.242124,4.122175
1987,57.314037,4.179654
1988,57.571169,4.262697
1989,56.558544,4.241189
1990,57.431223,4.266701
1991,56.390229,4.282473
1992,56.604858,4.090168
1993,56.599372,4.068620
1994,57.334558,4.047994
1995,60.436023,4.083544
1996,61.734959,4.148108
1997,61.996531,4.114970
1998,61.019528,4.044522
1999,60.408738,4.079117
2000,67.002821,4.133621
2001,70.402616,4.107635
2002,67.148384,4.144280
2003,63.293924,4.307030
2004,60.376075,4.399256
2005,60.297476,4.493561
2006,59.649253,4.585831
2007,57.135862,4.661509
2008,57.950926,4.682571
2009,59.248763,4.545518
2010,61.562293,4.744937
2011,57.019307,4.848876
2012,51.543845,4.854014
2013,49.755382,4.837742
2014,47.046148,4.804597
2015,46.876004,4.739116
2016,45.830846,4.682487
2017,43.632192,4.705259
2018,44.943234,4.752195
2019,44.857993,4.747814
2020,44.886787,4.457744
2021,47.014349,4.634748
2022,48.261587,4.678452
2023,45.133643,4.707772
2024,42.552938,4.729075
