"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil"
2017,0,1.920000,0,0,0,0,0
2018,0,1.810000,0,0,0,0,0
2019,0,0.090000,0,0,0,0,0
2020,0,-0.410000,0,0,0,0,0
2021,0,2.920000,0,0,0,0,0
2022,0,0.530000,0,0,0,0,0
2023,0,2.420000,0,0,0,0,0
2024,0,2.240000,0,0,0,0,0
2025,0,3.740000,0,0,0,0,0
2026,0,1.040000,0,0,0,0,0
