"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,4.768534,5.361238,5.011613
1991,4.191874,4.376003,4.208662
1992,4.196661,4.106432,2.977143
1993,3.419455,3.065204,3.013642
1994,3.080530,2.540742,2.507294
1995,2.667201,2.037212,2.045920
1996,2.325121,1.658033,1.503359
1997,2.163038,1.435758,1.533645
1998,2.129283,1.329593,1.465911
1999,2.226440,1.347159,1.637511
2000,2.658709,1.580934,2.156548
2001,2.984596,1.703774,2.428959
2002,3.747094,1.993997,2.857150
2003,4.099885,2.052138,2.998830
2004,4.579160,2.164744,3.481560
2005,5.772061,2.579408,3.966973
2006,6.876763,2.910889,4.595524
2007,8.393702,3.309335,5.288714
2008,8.556150,3.197073,5.240837
2009,8.731902,3.131488,5.314523
2010,9.260163,3.041627,5.186123
2011,9.199950,3.060263,5.659242
2012,10.168458,3.691195,7.066996
2013,10.326543,3.046111,5.909394
2014,10.360732,3.158391,6.839231
2015,10.563895,2.698277,5.493889
2016,11.397985,2.512636,5.733142
2017,13.639449,2.338930,4.813293
2018,14.615728,2.389190,4.936630
2019,14.568612,2.643606,5.199681
2020,10.728771,1.881830,3.530039
2021,15.177164,2.413529,3.957174
2022,15.635596,2.988457,3.621983
