"Year","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
1990,246.937366,262.336910,250.420864,250.860738,249.428515,252.736260,252.736260,251.196486,245.466503,245.628094,261.086325,261.983161,259.841818,245.363647,244.595909
1991,239.981462,233.910270,222.854013,222.854013,240.478500,243.881687,243.881687,242.568182,237.052523,237.198159,252.580389,253.281681,251.486624,239.289551,238.644123
1992,237.209693,219.020131,214.937784,214.937784,219.547392,222.282160,222.282160,221.126346,215.319200,215.459945,229.844290,230.510372,228.699757,216.281383,213.673704
1993,206.038379,195.335582,191.918215,191.918215,193.329689,196.430746,196.430746,195.710063,191.525589,191.648654,206.598303,206.960095,205.517800,191.350112,190.692029
1994,180.544910,158.017506,162.440414,162.440409,162.687857,166.579123,166.579123,166.047266,161.899896,162.006271,177.249473,177.652156,176.595051,162.209170,161.946845
1995,164.098460,156.069018,153.350149,153.350149,155.199701,158.327143,158.327143,157.982078,153.586242,153.676668,169.119446,169.453132,168.425977,154.273258,154.455313
1996,141.388367,140.970966,138.410860,138.410860,143.054878,146.052278,146.052278,145.806151,141.067388,141.163989,155.849094,156.110617,155.190715,142.235750,142.446431
1997,123.857843,130.070119,127.042132,127.042132,133.378421,135.383806,135.383806,135.201235,129.834050,129.941152,145.215820,145.459098,144.310917,130.660459,131.524212
1998,102.506328,134.755252,131.878600,131.878600,141.112410,131.565059,131.565059,131.429056,125.771611,125.889092,141.192827,141.411495,140.472760,128.053016,129.390199
1999,101.216373,112.366558,101.116604,101.016294,100.790825,104.036046,104.036046,103.977083,97.096091,97.207921,113.641524,113.735363,112.961403,102.610541,102.105997
2000,121.980644,140.222558,129.816816,123.072488,122.951869,126.734874,126.734874,126.797300,120.760398,120.885539,136.803104,136.576831,135.381230,126.324104,125.139233
2001,124.436935,126.430951,116.046297,115.945059,115.858269,119.300271,119.300271,119.433324,114.751179,114.775774,130.550271,131.057552,129.868818,120.917154,120.182427
2002,139.675746,143.426663,133.387204,133.240149,132.917412,136.520153,136.520153,136.731820,131.966364,132.003112,147.396757,147.322206,146.505190,139.461528,138.703181
2003,144.121815,158.547224,147.768672,147.692396,148.005059,151.778669,151.778669,152.065905,147.872683,147.917191,163.845717,163.705113,162.841560,156.135750,155.289332
2004,151.695188,178.386146,152.693257,152.607905,154.764071,159.133744,159.133744,159.518593,154.306767,154.357288,173.207328,173.001197,171.975427,166.630114,165.739897
2005,161.911267,192.516937,167.853248,167.748512,167.653312,171.860012,171.860012,172.425416,167.284807,167.332516,186.238722,186.306763,184.875856,179.845491,178.249903
2006,174.358213,225.116253,189.893892,189.634181,188.963086,193.457536,193.457536,194.223408,188.383165,188.429797,204.587556,204.623225,203.690202,199.054362,198.089562
2007,182.201736,226.456039,193.142189,187.099376,192.635885,197.968000,197.968000,198.983606,193.777933,193.819042,210.081062,210.124166,209.091044,204.467684,203.407798
2008,186.863489,197.048376,165.060879,173.333907,173.223713,198.111155,198.111155,199.262770,195.003699,195.037604,211.757959,211.903181,211.122322,206.613038,205.845295
2009,,216.068852,185.290773,194.544555,194.480496,194.264543,194.264543,195.579319,192.062563,192.093201,208.044272,208.331343,207.065737,204.757893,203.383663
2010,,,182.917386,213.591111,213.031786,218.932970,218.932970,220.292616,217.518303,217.559999,233.700140,233.734173,232.538599,230.412175,229.685188
2011,,,,199.754179,202.555813,207.722218,207.722218,209.473675,206.875116,206.878433,223.262444,223.287960,221.989525,219.662159,218.800536
2012,,,,,208.306150,214.506306,211.775039,216.895538,214.463244,214.451145,229.405370,229.809682,229.047204,226.870033,226.005427
2013,,,,,,219.363971,219.363330,221.427266,218.764176,218.740608,235.054005,235.237000,234.099155,233.179339,231.799870
2014,,,,,,,228.543129,228.447831,235.262645,235.144108,259.995947,260.198244,279.865308,252.140291,277.138618
2015,,,,,,,,213.631177,241.168900,240.955314,268.015581,268.447729,282.070266,254.965949,279.531897
2016,,,,,,,,,254.674870,243.680857,267.355235,267.933883,284.946833,254.963548,279.072175
2017,,,,,,,,,,258.707849,286.490463,286.978639,301.015026,270.155106,294.477384
2018,,,,,,,,,,,299.241401,297.566768,313.194886,285.075202,307.484194
2019,,,,,,,,,,,,276.189184,278.434102,251.962035,272.720118
2020,,,,,,,,,,,,,257.830404,231.173810,257.509505
2021,,,,,,,,,,,,,,231.012860,220.783907
2022,,,,,,,,,,,,,,,250.176855
